image,mask
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_158034_20200808_20200808_01_RT_p00386.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_158034_20200808_20200808_01_RT_voting_p00386.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_170066_20200812_20200812_01_RT_p00531.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_170066_20200812_20200812_01_RT_voting_p00531.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_182061_20200816_20200816_01_RT_p00274.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_182061_20200816_20200816_01_RT_voting_p00274.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_022038_20200815_20200815_01_RT_p00318.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_022038_20200815_20200815_01_RT_voting_p00318.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_166039_20200816_20200816_01_RT_p00322.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_166039_20200816_20200816_01_RT_voting_p00322.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_121027_20200821_20200821_01_RT_p00968.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_121027_20200821_20200821_01_RT_voting_p00968.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_174069_20200808_20200808_01_RT_p00576.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_174069_20200808_20200808_01_RT_voting_p00576.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_161017_20200813_20200813_01_RT_p00343.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_161017_20200813_20200813_01_RT_voting_p00343.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_172068_20200810_20200810_01_RT_p00875.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_172068_20200810_20200810_01_RT_voting_p00875.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_033030_20200828_20200828_01_RT_p00579.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_033030_20200828_20200828_01_RT_voting_p00579.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_169067_20200821_20200821_01_RT_p00338.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_169067_20200821_20200821_01_RT_voting_p00338.tif
