image,mask
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_170068_20200812_20200812_01_RT_p00149.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_170068_20200812_20200812_01_RT_voting_p00149.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_121028_20200821_20200821_01_RT_p00852.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_121028_20200821_20200821_01_RT_voting_p00852.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_136018_20200830_20200830_01_RT_p00583.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_136018_20200830_20200830_01_RT_voting_p00583.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_135014_20200823_20200823_01_RT_p00391.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_135014_20200823_20200823_01_RT_voting_p00391.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_175070_20200815_20200815_01_RT_p00479.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_175070_20200815_20200815_01_RT_voting_p00479.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_142018_20200824_20200824_01_RT_p00606.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_142018_20200824_20200824_01_RT_voting_p00606.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_122015_20200812_20200812_01_RT_p00353.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_122015_20200812_20200812_01_RT_voting_p00353.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_136017_20200830_20200830_01_RT_p00444.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_136017_20200830_20200830_01_RT_voting_p00444.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_143018_20200815_20200815_01_RT_p00907.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_143018_20200815_20200815_01_RT_voting_p00907.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_119016_20200823_20200823_01_RT_p00838.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_119016_20200823_20200823_01_RT_voting_p00838.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_126052_20200824_20200824_01_RT_p00512.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_126052_20200824_20200824_01_RT_voting_p00512.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_098070_20200820_20200820_01_RT_p00720.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_098070_20200820_20200820_01_RT_voting_p00720.tif
/data/heguozhen/Fire/activefire/images/patches/LC08_L1TP_170069_20200812_20200812_01_RT_p00211.tif,/data/heguozhen/Fire/activefire/masks/voting/LC08_L1TP_170069_20200812_20200812_01_RT_voting_p00211.tif
