image,mask
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_105069_20200922_20200922_01_RT_patch_06656_02048.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_105069_20200922_20200922_01_RT_patch_06656_02048.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_05120.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_05120.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_01280_02816.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_01280_02816.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_05888.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_05888.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_03072_06656.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_03072_06656.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_05632_03840.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_05632_03840.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_045032_20200917_20200917_01_RT_patch_03840_02304.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_045032_20200917_20200917_01_RT_patch_03840_02304.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_04096_02816.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_04096_02816.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_02048.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_02048.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_05120_01024.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_05120_01024.png
