image,mask
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03584_04864.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03584_04864.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_117016_20200926_20200926_01_RT_patch_03584_01024.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_117016_20200926_20200926_01_RT_patch_03584_01024.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03328_04864.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03328_04864.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_06912.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_06912.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_04096_00768.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_04096_00768.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03072_01024.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_175074_20200916_20200916_01_RT_patch_03072_01024.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_05632_04608.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_05632_04608.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02816_05376.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02816_05376.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_04352_00768.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_04352_00768.png
/data/heguozhen/Fire/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02816_04864.tif,/data/heguozhen/Fire/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02816_04864.png
