epoch,train_loss,train_acc,val_loss,val_acc
1,0.053147,0.996963,0.003458,0.999898
2,0.001983,0.999934,0.000948,0.999904
3,0.000877,0.999929,0.000504,0.999940
4,0.000441,0.999953,0.000244,0.999968
5,0.000298,0.999956,0.000186,0.999953
6,0.000207,0.999964,0.000163,0.999967
7,0.000168,0.999965,0.000110,0.999963
8,0.000169,0.999963,0.000092,0.999968
9,0.000186,0.999952,0.000157,0.999963
10,0.000146,0.999959,0.000231,0.999882
11,0.000157,0.999954,0.000094,0.999968
12,0.000131,0.999960,0.000115,0.999947
13,0.000115,0.999967,0.000087,0.999959
14,0.000096,0.999972,0.000104,0.999955
15,0.000119,0.999964,0.000097,0.999968
16,0.000124,0.999958,0.000523,0.999900
17,0.000124,0.999966,0.000068,0.999970
18,0.000081,0.999972,0.000056,0.999978
19,0.000088,0.999970,0.000060,0.999971
20,0.000078,0.999974,0.000057,0.999977
21,0.000079,0.999972,0.000052,0.999981
22,0.000079,0.999973,0.000093,0.999972
23,0.000096,0.999970,0.000058,0.999973
24,0.000083,0.999970,0.000057,0.999977
25,0.000069,0.999977,0.000066,0.999976
26,0.000092,0.999971,0.000110,0.999949
27,0.000095,0.999974,0.000060,0.999974
28,0.000076,0.999976,0.000074,0.999972
29,0.000104,0.999969,0.000051,0.999978
30,0.000076,0.999974,0.000054,0.999975
31,0.000068,0.999976,0.000054,0.999976
32,0.000065,0.999978,0.000068,0.999970
33,0.000067,0.999975,0.000042,0.999983
34,0.000066,0.999975,0.000058,0.999975
35,0.000064,0.999977,0.000061,0.999974
36,0.000098,0.999968,0.000048,0.999979
37,0.000092,0.999974,0.000048,0.999982
38,0.000063,0.999977,0.000051,0.999984
39,0.000065,0.999978,0.000062,0.999976
40,0.000069,0.999979,0.000043,0.999984
41,0.000062,0.999977,0.000047,0.999981
42,0.000070,0.999975,0.000054,0.999982
43,0.000070,0.999977,0.000050,0.999978
44,0.000062,0.999978,0.000053,0.999977
45,0.000058,0.999979,0.000048,0.999980
46,0.000072,0.999978,0.000053,0.999977
47,0.000057,0.999979,0.000160,0.999936
48,0.000057,0.999978,0.000042,0.999983
49,0.000062,0.999980,0.000058,0.999975
50,0.000060,0.999979,0.000045,0.999984
51,0.000063,0.999978,0.000113,0.999964
52,0.000058,0.999980,0.000082,0.999966
53,0.000052,0.999980,0.000046,0.999981
54,0.000065,0.999976,0.000065,0.999976
55,0.000078,0.999977,0.000410,0.999927
56,0.000064,0.999977,0.000045,0.999982
57,0.000059,0.999978,0.000064,0.999971
58,0.000066,0.999977,0.000062,0.999972
59,0.000057,0.999980,0.000042,0.999983
60,0.000062,0.999979,0.000059,0.999973
