epoch,train_loss,train_acc,val_loss,val_acc
1,0.130617,0.199482,0.165312,0.246503
2,0.086074,0.233940,0.119311,0.250695
3,0.071642,0.234387,0.080672,0.250850
4,0.059524,0.234992,0.069817,0.250695
5,0.050400,0.235136,0.057355,0.250769
6,0.043101,0.235114,0.045743,0.250998
7,0.037629,0.235063,0.036200,0.250914
8,0.032422,0.235113,0.032231,0.251266
9,0.028097,0.235178,0.027930,0.251328
10,0.024582,0.235192,0.025035,0.251359
11,0.021563,0.235215,0.023012,0.251370
12,0.019090,0.235230,0.020567,0.251430
13,0.017131,0.235252,0.017960,0.251426
14,0.015296,0.235288,0.016408,0.251444
15,0.013785,0.235308,0.014041,0.251471
16,0.012545,0.235310,0.012977,0.251478
17,0.011417,0.235329,0.011652,0.251486
18,0.010390,0.235354,0.010448,0.251512
19,0.009569,0.235362,0.009380,0.251521
20,0.008857,0.235365,0.008717,0.251522
21,0.008194,0.235378,0.008087,0.251547
22,0.007632,0.235381,0.007544,0.251531
23,0.007132,0.235385,0.007032,0.251561
24,0.006682,0.235399,0.006504,0.251559
25,0.006262,0.235402,0.006077,0.251565
26,0.005860,0.235418,0.005756,0.251566
27,0.005510,0.235423,0.005502,0.251572
28,0.005200,0.235430,0.005214,0.251563
29,0.004948,0.235428,0.004874,0.251587
30,0.004677,0.235439,0.004479,0.251586
31,0.004431,0.235443,0.004394,0.251580
32,0.004228,0.235440,0.004131,0.251568
33,0.003997,0.235454,0.003820,0.251604
34,0.003840,0.235454,0.003741,0.251598
35,0.003675,0.235457,0.003577,0.251595
36,0.003501,0.235461,0.003344,0.251610
37,0.003374,0.235460,0.003253,0.251604
38,0.003244,0.235461,0.003078,0.251611
39,0.003106,0.235471,0.003008,0.251607
40,0.003025,0.235460,0.002805,0.251628
41,0.002884,0.235475,0.002824,0.251606
42,0.002787,0.235475,0.002719,0.251611
43,0.002652,0.235488,0.002546,0.251627
44,0.002576,0.235484,0.002441,0.251628
45,0.002495,0.235485,0.002327,0.251632
46,0.002398,0.235497,0.002295,0.251628
47,0.002330,0.235492,0.002266,0.251617
48,0.002315,0.235468,0.002109,0.251634
49,0.002209,0.235490,0.002040,0.251635
50,0.002127,0.235497,0.002013,0.251628
51,0.002088,0.235494,0.001993,0.251636
52,0.002041,0.235486,0.001906,0.251622
53,0.001981,0.235492,0.001807,0.251630
54,0.001912,0.235503,0.001813,0.251635
55,0.001890,0.235492,0.001742,0.251625
56,0.001841,0.235489,0.001644,0.251649
57,0.001815,0.235488,0.001678,0.251648
58,0.001784,0.235484,0.001673,0.251644
59,0.001748,0.235481,0.001580,0.251640
60,0.001658,0.235508,0.001556,0.251635
