epoch,train_loss,train_acc,val_loss,val_acc
1,0.014618,0.999289,0.000270,0.999973
2,0.000179,0.999974,0.000089,0.999976
3,0.000079,0.999978,0.000060,0.999978
4,0.000057,0.999980,0.000042,0.999983
5,0.000054,0.999979,0.000040,0.999983
6,0.000045,0.999982,0.000036,0.999985
7,0.000043,0.999982,0.000036,0.999985
8,0.000041,0.999983,0.000037,0.999985
9,0.000040,0.999983,0.000039,0.999985
10,0.000039,0.999984,0.000034,0.999986
11,0.000039,0.999984,0.000037,0.999984
12,0.000038,0.999984,0.000038,0.999984
13,0.000037,0.999985,0.000038,0.999984
14,0.000036,0.999985,0.000040,0.999983
15,0.000036,0.999985,0.000039,0.999984
16,0.000035,0.999985,0.000033,0.999986
17,0.000035,0.999985,0.000044,0.999982
18,0.000035,0.999985,0.000043,0.999982
19,0.000034,0.999985,0.000042,0.999983
20,0.000034,0.999986,0.000039,0.999984
21,0.000033,0.999986,0.000034,0.999986
22,0.000033,0.999986,0.000043,0.999983
23,0.000033,0.999986,0.000036,0.999985
24,0.000033,0.999986,0.000038,0.999984
25,0.000033,0.999986,0.000033,0.999986
26,0.000032,0.999986,0.000031,0.999987
27,0.000032,0.999987,0.000058,0.999981
28,0.000031,0.999987,0.000031,0.999987
29,0.000031,0.999987,0.000036,0.999985
30,0.000031,0.999987,0.000043,0.999984
31,0.000031,0.999987,0.000038,0.999984
32,0.000030,0.999987,0.000058,0.999980
33,0.000030,0.999987,0.000034,0.999986
34,0.000030,0.999987,0.000049,0.999982
35,0.000029,0.999988,0.000035,0.999986
36,0.000029,0.999988,0.000032,0.999987
37,0.000029,0.999988,0.000032,0.999987
38,0.000029,0.999988,0.000041,0.999984
39,0.000029,0.999988,0.000033,0.999987
40,0.000028,0.999988,0.000039,0.999985
41,0.000028,0.999988,0.000043,0.999984
42,0.000028,0.999988,0.000062,0.999982
43,0.000027,0.999988,0.000045,0.999984
44,0.000027,0.999989,0.000034,0.999987
45,0.000027,0.999989,0.000033,0.999987
46,0.000027,0.999989,0.000042,0.999985
47,0.000026,0.999989,0.000033,0.999987
48,0.000026,0.999989,0.000034,0.999986
49,0.000026,0.999989,0.000034,0.999986
50,0.000026,0.999989,0.000034,0.999987
51,0.000025,0.999989,0.000040,0.999985
52,0.000025,0.999989,0.000038,0.999986
53,0.000024,0.999990,0.000036,0.999986
54,0.000024,0.999990,0.000033,0.999987
55,0.000024,0.999990,0.000046,0.999985
56,0.000024,0.999990,0.000034,0.999987
57,0.000024,0.999990,0.000038,0.999986
58,0.000023,0.999990,0.000056,0.999982
59,0.000023,0.999990,0.000034,0.999987
60,0.000023,0.999990,0.000063,0.999982
