epoch,train_loss,train_acc,val_loss,val_acc
1,0.014175,0.499021,0.000521,0.499976
2,0.000323,0.499696,0.000143,0.499983
3,0.000122,0.499700,0.000073,0.499986
4,0.000071,0.499702,0.000054,0.499985
5,0.000051,0.499702,0.000038,0.499988
6,0.000042,0.499703,0.000051,0.499981
7,0.000037,0.499703,0.000037,0.499986
8,0.000033,0.499704,0.000030,0.499988
9,0.000030,0.499705,0.000029,0.499988
10,0.000029,0.499705,0.000029,0.499988
11,0.000032,0.499704,0.000030,0.499988
12,0.000028,0.499705,0.000026,0.499989
13,0.000027,0.499705,0.000027,0.499989
14,0.000027,0.499705,0.000027,0.499989
15,0.000027,0.499706,0.000033,0.499986
16,0.000026,0.499706,0.000025,0.499990
17,0.000024,0.499706,0.000030,0.499988
18,0.000025,0.499706,0.000035,0.499986
19,0.000024,0.499706,0.000027,0.499989
20,0.000024,0.499707,0.000028,0.499988
21,0.000024,0.499707,0.000030,0.499987
22,0.000024,0.499707,0.000024,0.499990
23,0.000023,0.499707,0.000027,0.499988
24,0.000023,0.499707,0.000034,0.499986
25,0.000022,0.499707,0.000025,0.499990
26,0.000022,0.499707,0.000024,0.499990
27,0.000022,0.499707,0.000029,0.499987
28,0.000022,0.499707,0.000023,0.499990
29,0.000022,0.499707,0.000025,0.499989
30,0.000021,0.499708,0.000023,0.499990
31,0.000021,0.499708,0.000029,0.499988
32,0.000021,0.499708,0.000025,0.499990
33,0.000021,0.499708,0.000024,0.499990
34,0.000021,0.499708,0.000026,0.499989
35,0.000021,0.499708,0.000024,0.499990
36,0.000020,0.499708,0.000024,0.499990
37,0.000021,0.499708,0.000023,0.499991
38,0.000020,0.499708,0.000023,0.499990
39,0.000020,0.499708,0.000024,0.499990
40,0.000020,0.499708,0.000023,0.499990
41,0.000019,0.499708,0.000024,0.499990
42,0.000019,0.499708,0.000023,0.499990
43,0.000019,0.499708,0.000025,0.499990
44,0.000019,0.499708,0.000023,0.499990
45,0.000019,0.499709,0.000024,0.499990
46,0.000019,0.499709,0.000024,0.499990
47,0.000019,0.499708,0.000022,0.499991
48,0.000019,0.499709,0.000023,0.499990
49,0.000018,0.499709,0.000025,0.499990
50,0.000018,0.499709,0.000023,0.499991
51,0.000018,0.499709,0.000023,0.499990
52,0.000018,0.499709,0.000024,0.499990
53,0.000018,0.499709,0.000025,0.499990
54,0.000017,0.499709,0.000023,0.499991
55,0.000017,0.499709,0.000027,0.499989
56,0.000017,0.499709,0.000023,0.499991
57,0.000017,0.499709,0.000025,0.499990
58,0.000017,0.499709,0.000027,0.499989
59,0.000017,0.499710,0.000024,0.499990
60,0.000017,0.499710,0.000025,0.499990
