epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.017817,0.000068,0.002899,0.010408,0.069978
2,0.000787,0.000054,0.000085,0.000695,0.002985
3,0.000306,0.000044,0.000063,0.000264,0.001078
4,0.000186,0.000139,0.000061,0.000155,0.000592
5,0.000248,0.000040,0.000141,0.000139,0.000680
6,0.000103,0.000027,0.000048,0.000075,0.000297
7,0.000100,0.000021,0.000060,0.000059,0.000262
8,0.000093,0.000019,0.000057,0.000059,0.000235
9,0.000064,0.000025,0.000039,0.000040,0.000162
10,0.000124,0.000021,0.000081,0.000063,0.000310
11,0.000169,0.000039,0.000106,0.000148,0.000378
12,0.000069,0.000022,0.000044,0.000052,0.000161
13,0.000061,0.000022,0.000039,0.000039,0.000147
14,0.000079,0.000024,0.000057,0.000044,0.000181
15,0.000056,0.000021,0.000036,0.000033,0.000140
16,0.000048,0.000067,0.000031,0.000029,0.000118
17,0.000050,0.000022,0.000033,0.000030,0.000121
18,0.000048,0.000018,0.000030,0.000027,0.000122
19,0.000045,0.000019,0.000028,0.000029,0.000112
20,0.000042,0.000029,0.000027,0.000027,0.000102
21,0.000045,0.000021,0.000030,0.000029,0.000107
22,0.000042,0.000013,0.000027,0.000028,0.000103
23,0.000040,0.000014,0.000025,0.000024,0.000104
24,0.000049,0.000015,0.000035,0.000040,0.000101
25,0.000040,0.008971,0.000026,0.000030,0.000092
26,0.000050,0.000014,0.000038,0.000042,0.000095
27,0.000031,0.000015,0.000020,0.000021,0.000077
28,0.000031,0.000013,0.000019,0.000020,0.000077
29,0.000035,0.000015,0.000022,0.000024,0.000087
30,0.000036,0.000014,0.000022,0.000024,0.000088
31,0.000029,0.000019,0.000018,0.000019,0.000070
32,0.000028,0.000023,0.000018,0.000020,0.000070
33,0.000028,0.000013,0.000017,0.000018,0.000069
34,0.000028,0.000012,0.000018,0.000019,0.000068
35,0.000025,0.000013,0.000016,0.000017,0.000060
36,0.000028,0.000012,0.000017,0.000018,0.000071
37,0.000025,0.000013,0.000016,0.000016,0.000060
38,0.000027,0.000016,0.000017,0.000018,0.000067
39,0.000032,0.000015,0.000020,0.000020,0.000082
40,0.000029,0.000013,0.000018,0.000018,0.000072
41,0.000023,0.000010,0.000015,0.000016,0.000057
42,0.000026,0.000011,0.000016,0.000017,0.000063
43,0.000023,0.000011,0.000015,0.000016,0.000056
44,0.000023,0.000011,0.000015,0.000015,0.000055
45,0.000023,0.000012,0.000014,0.000015,0.000056
46,0.000023,0.000011,0.000015,0.000016,0.000057
47,0.000027,0.000013,0.000017,0.000018,0.000065
48,0.000024,0.000017,0.000015,0.000015,0.000061
49,0.000022,0.000013,0.000014,0.000014,0.000053
50,0.000022,0.000014,0.000014,0.000015,0.000052
51,0.000022,0.000014,0.000014,0.000014,0.000052
52,0.000022,0.000012,0.000014,0.000015,0.000052
53,0.000022,0.000010,0.000014,0.000014,0.000053
54,0.000020,0.000015,0.000013,0.000013,0.000049
55,0.000022,0.000011,0.000014,0.000016,0.000050
56,0.000023,0.000017,0.000015,0.000015,0.000054
57,0.000020,0.000010,0.000013,0.000014,0.000047
58,0.000020,0.000011,0.000013,0.000014,0.000048
59,0.000022,0.000010,0.000014,0.000015,0.000053
60,0.000020,0.000009,0.000013,0.000014,0.000049
