epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.076020,0.142832,0.032387,0.042601,0.240341
2,0.038545,0.006110,0.005271,0.019240,0.157670
3,0.028149,0.003119,0.002452,0.013373,0.120017
4,0.021853,0.001701,0.001561,0.010176,0.094404
5,0.017333,0.001088,0.001131,0.008137,0.075135
6,0.014175,0.000854,0.000974,0.006952,0.060999
7,0.011692,0.000841,0.000878,0.006097,0.049732
8,0.009776,0.000743,0.000806,0.005428,0.041035
9,0.008136,0.000623,0.000674,0.004669,0.033989
10,0.007108,0.000764,0.000692,0.004286,0.029175
11,0.006214,0.000658,0.000640,0.003893,0.025255
12,0.005433,0.000466,0.000594,0.003490,0.021892
13,0.004818,0.001227,0.000601,0.003167,0.019117
14,0.004250,0.000425,0.000552,0.002855,0.016740
15,0.003782,0.000453,0.000463,0.002581,0.014938
16,0.003406,0.000413,0.000474,0.002344,0.013263
17,0.003070,0.000387,0.000431,0.002175,0.011879
18,0.002777,0.000352,0.000421,0.001961,0.010658
19,0.002560,0.000412,0.000410,0.001843,0.009726
20,0.002365,0.000319,0.000412,0.001722,0.008868
21,0.002242,0.000433,0.000422,0.001637,0.008306
22,0.002134,0.000328,0.000424,0.001583,0.007814
23,0.001947,0.000303,0.000384,0.001457,0.007124
24,0.001804,0.000312,0.000361,0.001349,0.006587
25,0.001714,0.000306,0.000377,0.001283,0.006155
26,0.001631,0.000275,0.000356,0.001231,0.005858
27,0.001507,0.000288,0.000338,0.001141,0.005380
28,0.001445,0.000298,0.000346,0.001102,0.005085
29,0.001415,0.000301,0.000368,0.001066,0.004905
30,0.001326,0.000292,0.000341,0.001005,0.004603
31,0.001280,0.000261,0.000359,0.000965,0.004360
32,0.001256,0.000303,0.000361,0.000948,0.004248
33,0.001154,0.000253,0.000310,0.000892,0.003946
34,0.001144,0.000297,0.000341,0.000858,0.003839
35,0.001123,0.000295,0.000345,0.000852,0.003728
36,0.001075,0.000244,0.000341,0.000814,0.003541
37,0.001089,0.000331,0.000378,0.000805,0.003504
38,0.001074,0.000297,0.000370,0.000798,0.003459
39,0.001001,0.000402,0.000338,0.000756,0.003233
40,0.000961,0.000238,0.000320,0.000730,0.003118
41,0.000912,0.000274,0.000310,0.000691,0.002941
42,0.000897,0.000246,0.000308,0.000683,0.002877
43,0.000842,0.000239,0.000286,0.000641,0.002711
44,0.000829,0.000296,0.000288,0.000648,0.002633
45,0.000825,0.000238,0.000295,0.000625,0.002613
46,0.000776,0.000231,0.000280,0.000595,0.002445
47,0.000793,0.000326,0.000309,0.000589,0.002449
48,0.000766,0.000239,0.000280,0.000586,0.002406
49,0.000754,0.000247,0.000289,0.000566,0.002340
50,0.000726,0.000229,0.000281,0.000556,0.002233
51,0.000734,0.000444,0.000286,0.000569,0.002245
52,0.000712,0.000275,0.000293,0.000534,0.002149
53,0.000720,0.000224,0.000298,0.000545,0.002162
54,0.000694,0.000212,0.000292,0.000515,0.002081
55,0.000731,0.000345,0.000314,0.000565,0.002149
56,0.000677,0.000240,0.000287,0.000528,0.001995
57,0.000660,0.000282,0.000279,0.000495,0.001969
58,0.000646,0.000262,0.000280,0.000483,0.001909
59,0.000634,0.000211,0.000269,0.000494,0.001868
60,0.000607,0.000216,0.000256,0.000469,0.001799
