epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.005020,0.000025,0.000805,0.003077,0.019609
2,0.000123,0.000012,0.000017,0.000109,0.000453
3,0.000048,0.000010,0.000012,0.000042,0.000159
4,0.000028,0.000008,0.000011,0.000023,0.000084
5,0.000022,0.000009,0.000011,0.000019,0.000058
6,0.000018,0.000010,0.000010,0.000014,0.000045
7,0.000015,0.000008,0.000009,0.000012,0.000037
8,0.000014,0.000007,0.000008,0.000011,0.000033
9,0.000012,0.000007,0.000008,0.000010,0.000028
10,0.000012,0.000006,0.000007,0.000009,0.000028
11,0.000010,0.000007,0.000006,0.000009,0.000024
12,0.000010,0.000005,0.000006,0.000008,0.000024
13,0.000010,0.000006,0.000006,0.000008,0.000023
14,0.000010,0.000008,0.000006,0.000008,0.000023
15,0.000009,0.000011,0.000006,0.000007,0.000022
16,0.000009,0.000006,0.000006,0.000007,0.000021
17,0.000009,0.000005,0.000006,0.000007,0.000021
18,0.000009,0.000009,0.000006,0.000007,0.000021
19,0.000008,0.000005,0.000005,0.000006,0.000020
20,0.000008,0.000008,0.000005,0.000006,0.000019
21,0.000008,0.000005,0.000005,0.000006,0.000019
22,0.000008,0.000005,0.000005,0.000006,0.000018
23,0.000008,0.000005,0.000005,0.000006,0.000018
24,0.000008,0.000007,0.000005,0.000006,0.000018
25,0.000007,0.000005,0.000005,0.000005,0.000017
26,0.000007,0.000006,0.000005,0.000006,0.000018
27,0.000007,0.000005,0.000005,0.000005,0.000017
28,0.000007,0.000005,0.000005,0.000005,0.000017
29,0.000007,0.000005,0.000004,0.000005,0.000017
30,0.000007,0.000005,0.000004,0.000005,0.000016
31,0.000007,0.000006,0.000004,0.000005,0.000016
32,0.000007,0.000009,0.000004,0.000005,0.000017
33,0.000007,0.000004,0.000004,0.000005,0.000016
34,0.000007,0.000004,0.000004,0.000005,0.000016
35,0.000007,0.000005,0.000004,0.000005,0.000016
36,0.000006,0.000004,0.000004,0.000005,0.000015
37,0.000007,0.000004,0.000004,0.000005,0.000016
38,0.000006,0.000004,0.000004,0.000005,0.000015
39,0.000006,0.000004,0.000004,0.000005,0.000015
40,0.000006,0.000004,0.000004,0.000005,0.000015
41,0.000006,0.000004,0.000004,0.000005,0.000015
42,0.000006,0.000006,0.000004,0.000005,0.000015
43,0.000006,0.000005,0.000004,0.000005,0.000015
44,0.000006,0.000006,0.000004,0.000005,0.000014
45,0.000006,0.000006,0.000004,0.000005,0.000015
46,0.000006,0.000005,0.000004,0.000004,0.000014
47,0.000006,0.000004,0.000004,0.000004,0.000014
48,0.000006,0.000005,0.000004,0.000005,0.000014
49,0.000006,0.000005,0.000004,0.000004,0.000014
50,0.000006,0.000005,0.000004,0.000004,0.000014
51,0.000006,0.000006,0.000003,0.000004,0.000014
52,0.000006,0.000005,0.000004,0.000004,0.000014
53,0.000006,0.000005,0.000003,0.000004,0.000013
54,0.000006,0.000005,0.000003,0.000004,0.000013
55,0.000006,0.000006,0.000003,0.000004,0.000014
56,0.000005,0.000005,0.000003,0.000004,0.000013
57,0.000005,0.000006,0.000003,0.000004,0.000013
58,0.000005,0.000006,0.000003,0.000004,0.000013
59,0.000006,0.000009,0.000003,0.000004,0.000013
60,0.000005,0.000006,0.000003,0.000004,0.000013
