epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.004512,0.000377,0.000815,0.002018,0.018095
2,0.000412,0.000210,0.000301,0.000247,0.000911
3,0.000277,0.000188,0.000210,0.000192,0.000561
4,0.000217,0.000168,0.000151,0.000164,0.000471
5,0.000201,0.000172,0.000141,0.000146,0.000436
6,0.000191,0.000152,0.000134,0.000136,0.000418
7,0.000184,0.000182,0.000128,0.000129,0.000407
8,0.000191,0.000176,0.000134,0.000136,0.000418
9,0.000177,0.000130,0.000124,0.000125,0.000391
10,0.000173,0.000148,0.000120,0.000120,0.000384
11,0.000170,0.000140,0.000117,0.000118,0.000380
12,0.000168,0.000140,0.000116,0.000116,0.000375
13,0.000165,0.000170,0.000114,0.000114,0.000369
14,0.000163,0.000151,0.000113,0.000113,0.000366
15,0.000163,0.000123,0.000112,0.000113,0.000366
16,0.000161,0.000142,0.000111,0.000111,0.000362
17,0.000160,0.000125,0.000110,0.000111,0.000361
18,0.000158,0.000121,0.000109,0.000109,0.000356
19,0.000157,0.000120,0.000108,0.000108,0.000355
20,0.000156,0.000147,0.000107,0.000107,0.000352
21,0.000155,0.000117,0.000106,0.000106,0.000350
22,0.000154,0.000150,0.000105,0.000106,0.000348
23,0.000153,0.000121,0.000105,0.000105,0.000347
24,0.000153,0.000114,0.000105,0.000105,0.000346
25,0.000151,0.000128,0.000103,0.000104,0.000342
26,0.000151,0.000114,0.000103,0.000104,0.000343
27,0.000151,0.000122,0.000103,0.000103,0.000341
28,0.000150,0.000181,0.000102,0.000103,0.000339
29,0.000150,0.000116,0.000102,0.000102,0.000339
30,0.000148,0.000123,0.000101,0.000102,0.000335
31,0.000147,0.000119,0.000100,0.000101,0.000332
32,0.000148,0.000133,0.000101,0.000101,0.000334
33,0.000146,0.000123,0.000100,0.000100,0.000329
34,0.000145,0.000120,0.000099,0.000100,0.000328
35,0.000145,0.000115,0.000099,0.000100,0.000327
36,0.000145,0.000113,0.000099,0.000100,0.000329
37,0.000145,0.000124,0.000099,0.000099,0.000327
38,0.000143,0.000115,0.000098,0.000099,0.000324
39,0.000143,0.000126,0.000098,0.000098,0.000323
40,0.000142,0.000123,0.000097,0.000097,0.000321
41,0.000142,0.000122,0.000097,0.000098,0.000321
42,0.000141,0.000117,0.000097,0.000097,0.000318
43,0.000141,0.000115,0.000097,0.000097,0.000318
44,0.000140,0.000121,0.000096,0.000096,0.000315
45,0.000139,0.000113,0.000096,0.000096,0.000315
46,0.000139,0.000124,0.000095,0.000096,0.000314
47,0.000138,0.000118,0.000095,0.000095,0.000312
48,0.000138,0.000123,0.000094,0.000095,0.000310
49,0.000137,0.000115,0.000094,0.000095,0.000310
50,0.000137,0.000121,0.000094,0.000095,0.000309
51,0.000136,0.000113,0.000093,0.000094,0.000307
52,0.000136,0.000130,0.000093,0.000094,0.000306
53,0.000136,0.000142,0.000093,0.000094,0.000306
54,0.000135,0.000119,0.000092,0.000093,0.000305
55,0.000136,0.000118,0.000093,0.000094,0.000307
56,0.000134,0.000135,0.000092,0.000092,0.000302
57,0.000134,0.000133,0.000092,0.000092,0.000303
58,0.000133,0.000131,0.000091,0.000092,0.000301
59,0.000132,0.000194,0.000090,0.000091,0.000299
60,0.000133,0.000122,0.000091,0.000092,0.000299
