epoch,train_loss,val_loss
1,0.074143,0.034738
2,0.018401,0.010306
3,0.007238,0.004777
4,0.003770,0.002800
5,0.002295,0.001785
6,0.001538,0.001259
7,0.001112,0.000891
8,0.000845,0.000780
9,0.000665,0.000581
10,0.000523,0.000458
11,0.000413,0.000370
12,0.000333,0.000302
13,0.000278,0.000249
14,0.000278,0.000237
15,0.000224,0.000199
16,0.000177,0.000174
17,0.000152,0.000142
18,0.000141,0.000127
19,0.000124,0.000111
20,0.000105,0.000098
21,0.000095,0.000084
22,0.000087,0.000076
23,0.000078,0.000072
24,0.000069,0.000066
25,0.000069,0.000060
26,0.000064,0.000053
27,0.000056,0.000051
28,0.000060,0.000047
29,0.000049,0.000043
30,0.000053,0.000045
31,0.000042,0.000039
32,0.000043,0.000038
33,0.000039,0.000036
34,0.000039,0.000034
35,0.000038,0.000031
36,0.000032,0.000028
37,0.000033,0.000028
38,0.000027,0.000033
39,0.000030,0.000026
40,0.000027,0.000021
41,0.000024,0.000033
42,0.000027,0.000045
43,0.000022,0.000019
44,0.000026,0.000020
45,0.000026,0.000020
46,0.000021,0.000018
47,0.000032,0.000033
48,0.000025,0.000030
49,0.000038,0.000018
50,0.000023,0.000019
51,0.000028,0.000017
52,0.000023,0.000016
53,0.000022,0.000019
54,0.000020,0.000015
55,0.000019,0.000021
56,0.000022,0.000014
57,0.000018,0.000012
58,0.000020,0.000021
59,0.000019,0.000012
60,0.000017,0.000014
61,0.000018,0.000026
62,0.000019,0.000013
63,0.000018,0.000012
64,0.000015,0.000013
