epoch,train_loss,val_loss
1,0.550809,0.444132
2,0.310791,0.259176
3,0.221612,0.181903
4,0.157207,0.124553
5,0.116518,0.091338
6,0.088527,0.070621
7,0.069844,0.065527
8,0.056428,0.051193
9,0.046228,0.044184
10,0.038798,0.037718
11,0.032715,0.029707
12,0.028035,0.026987
13,0.024084,0.023100
14,0.020852,0.019810
15,0.018389,0.016785
16,0.017064,0.026663
17,0.014998,0.013746
18,0.013447,0.011317
19,0.012285,0.011352
20,0.011202,0.009767
21,0.010562,0.009019
22,0.009633,0.008718
23,0.008996,0.009001
24,0.008399,0.008091
25,0.007917,0.006525
26,0.007496,0.006990
27,0.007041,0.006729
28,0.006876,0.005932
29,0.006427,0.005929
30,0.006037,0.005608
31,0.006054,0.005614
32,0.005611,0.004939
33,0.005347,0.004771
34,0.005166,0.004598
35,0.005067,0.004681
36,0.004780,0.004285
37,0.004575,0.003789
38,0.004442,0.003935
39,0.004272,0.004671
40,0.004181,0.003934
41,0.004097,0.003894
42,0.003978,0.003761
43,0.003839,0.003401
44,0.003618,0.003501
45,0.003560,0.003845
46,0.003429,0.003282
47,0.003392,0.003220
48,0.003470,0.003134
49,0.003457,0.003482
50,0.003202,0.002943
51,0.003027,0.003081
52,0.003126,0.003004
53,0.003030,0.002639
54,0.002861,0.002691
55,0.002881,0.003103
56,0.002782,0.002779
57,0.003279,0.003297
58,0.003346,0.003354
