epoch,train_loss,val_loss
1,0.027948,0.003203
2,0.001654,0.000813
3,0.000551,0.000346
4,0.000261,0.000191
5,0.000149,0.000117
6,0.000095,0.000076
7,0.000066,0.000053
8,0.000048,0.000040
9,0.000037,0.000032
10,0.000030,0.000027
11,0.000025,0.000025
12,0.000021,0.000019
13,0.000018,0.000021
14,0.000016,0.000015
15,0.000014,0.000013
16,0.000013,0.000017
17,0.000012,0.000013
18,0.000012,0.000010
19,0.000011,0.000010
20,0.000010,0.000009
21,0.000010,0.000010
22,0.000010,0.000013
23,0.000010,0.000019
24,0.000009,0.000010
25,0.000009,0.000009
26,0.000009,0.000008
27,0.000009,0.000009
28,0.000008,0.000028
29,0.000008,0.000009
30,0.000008,0.000007
31,0.000008,0.000011
32,0.000008,0.000016
33,0.000008,0.000008
34,0.000008,0.000009
35,0.000007,0.000014
