epoch,train_loss,val_loss
1,0.028523,0.002558
2,0.001294,0.000637
3,0.000411,0.000263
4,0.000199,0.000151
5,0.000117,0.000093
6,0.000077,0.000063
7,0.000054,0.000049
8,0.000043,0.000041
9,0.000034,0.000033
10,0.000029,0.000028
11,0.000026,0.000025
12,0.000022,0.000022
13,0.000020,0.000020
14,0.000020,0.000022
15,0.000019,0.000041
16,0.000018,0.000018
17,0.000017,0.000017
18,0.000016,0.000031
19,0.000016,0.000016
20,0.000017,0.000017
21,0.000015,0.000019
22,0.000015,0.000016
23,0.000015,0.000015
24,0.000014,0.000018
25,0.000014,0.000018
26,0.000014,0.000014
27,0.000013,0.000017
28,0.000014,0.000016
29,0.000013,0.000022
30,0.000013,0.000014
31,0.000013,0.000014
32,0.000013,0.000013
33,0.000012,0.000026
34,0.000012,0.000017
35,0.000012,0.000022
36,0.000012,0.000016
37,0.000012,0.000013
38,0.000012,0.000017
39,0.000012,0.000017
40,0.000012,0.000014
41,0.000012,0.000014
42,0.000011,0.000015
