epoch,train_loss,val_loss
1,0.495882,0.487359
2,0.482859,0.483394
3,0.481305,0.483488
4,0.480696,0.482055
5,0.479992,0.482247
6,0.480164,0.481322
7,0.479755,0.481698
8,0.479454,0.481925
9,0.479302,0.482345
10,0.479121,0.482747
11,0.479052,0.486639
12,0.479089,0.482048
13,0.479036,0.480818
14,0.478842,0.482055
15,0.478979,0.480581
16,0.478622,0.481609
17,0.478413,0.480644
18,0.478311,0.481168
19,0.478902,0.480934
20,0.478540,0.480542
21,0.416130,0.374087
22,0.364029,0.369532
23,0.358380,0.275211
24,0.132578,0.128274
25,0.125950,0.125935
26,0.125371,0.123623
27,0.133255,0.129931
28,0.126375,0.127096
29,0.125205,0.124918
30,0.124902,0.123898
31,0.124391,0.143069
32,0.129627,0.126526
33,0.124482,0.123841
34,0.123847,0.123526
35,0.123673,0.122936
36,0.123472,0.124937
37,0.123905,0.122463
38,0.123407,0.124090
39,0.123751,0.123679
40,0.122768,0.122965
41,0.123277,0.123572
42,0.124702,0.124491
43,0.123202,0.123835
44,0.124065,0.122539
45,0.122728,0.123036
46,0.122860,0.122607
47,0.122996,0.122685
48,0.122682,0.122618
49,0.122627,0.122225
50,0.122947,0.123123
51,0.122743,0.122175
52,0.122214,0.123186
53,0.122767,0.122601
54,0.123627,0.122945
55,0.122142,0.122312
56,0.121942,0.122137
57,0.121896,0.122138
58,0.122413,0.122399
59,0.122518,0.124075
60,0.122204,0.121702
61,0.121917,0.122193
62,0.121696,0.122156
63,0.121486,0.122417
64,0.121500,0.122478
65,0.121984,0.122345
66,0.121906,0.121747
67,0.121430,0.122091
68,0.121668,0.122452
69,0.121732,0.122053
70,0.121413,0.121726
71,0.121652,0.122046
72,0.121218,0.122047
73,0.120973,0.121865
74,0.120842,0.121884
75,0.120774,0.121655
76,0.120740,0.121540
77,0.120881,0.121773
78,0.120645,0.122055
79,0.120806,0.121616
80,0.120422,0.121712
