epoch,train_loss,val_loss
1,1.486036,2.051803
2,0.805483,0.951717
3,0.733858,0.757201
4,0.696751,0.711462
5,0.663060,0.731711
6,0.653949,0.643856
7,0.618050,0.662219
8,0.621693,0.619816
9,0.594136,0.706864
10,0.587422,0.622066
11,0.566919,0.598410
12,0.552793,0.605211
13,0.572444,0.646435
14,0.555032,0.593451
15,0.547078,0.600328
16,0.550164,0.604659
17,0.534119,0.574262
18,0.534120,0.571990
19,0.534098,0.571290
20,0.513352,0.573725
21,0.524437,0.590461
22,0.508030,0.568496
23,0.512065,0.588461
24,0.501316,0.583934
25,0.494374,0.610118
26,0.511300,0.614678
27,0.490226,0.552355
28,0.472946,0.554427
29,0.481681,0.553865
30,0.473913,0.552653
31,0.464557,0.571724
32,0.486284,0.562876
33,0.476353,0.575831
34,0.476170,0.549390
35,0.448415,0.544804
36,0.441113,0.553174
37,0.446553,0.551510
38,0.466324,0.569440
39,0.445691,0.549906
40,0.442148,0.550575
41,0.444142,0.556552
42,0.432557,0.547466
43,0.426333,0.551708
44,0.414807,0.584796
45,0.427231,0.555328
46,0.417555,0.550674
47,0.419476,0.550755
48,0.416347,0.558256
49,0.412495,0.544934
50,0.413142,0.550530
51,0.397593,0.558536
52,0.396705,0.550034
53,0.397146,0.567469
54,0.392988,0.549323
55,0.395130,0.549571
56,0.386559,0.548308
57,0.379705,0.555467
58,0.390446,0.553841
59,0.378037,0.547762
60,0.372927,0.554036
61,0.369399,0.547995
62,0.370354,0.551990
63,0.367730,0.548840
64,0.369549,0.549523
65,0.364423,0.556247
66,0.362471,0.553382
67,0.352900,0.555860
68,0.349746,0.548806
69,0.345796,0.558016
70,0.357678,0.547535
71,0.351897,0.547332
72,0.345556,0.550880
73,0.341316,0.548542
74,0.334292,0.547915
75,0.334048,0.548328
76,0.334053,0.548810
77,0.333946,0.550998
78,0.331783,0.549512
79,0.331595,0.550262
80,0.325901,0.549823
