epoch,train_loss,val_loss
1,0.455032,0.364598
2,0.354571,0.373258
3,0.335445,0.325936
4,0.331873,0.322323
5,0.322845,0.313538
6,0.320736,0.316967
7,0.319981,0.322206
8,0.312613,0.328800
9,0.311697,0.323051
10,0.309291,0.345596
11,0.309075,0.342544
12,0.303923,0.293759
13,0.300862,0.296292
14,0.301139,0.302793
15,0.299270,0.301737
16,0.299180,0.289535
17,0.294450,0.295903
18,0.296315,0.289601
19,0.294520,0.298425
20,0.296345,0.295234
21,0.291738,0.292688
22,0.291535,0.308774
23,0.292138,0.286246
24,0.287818,0.285776
25,0.292033,0.289554
26,0.287896,0.282676
27,0.288781,0.284394
28,0.285894,0.289452
29,0.285649,0.285129
30,0.282593,0.282044
31,0.284517,0.280449
32,0.283946,0.282046
33,0.279765,0.295637
34,0.281653,0.284001
35,0.280709,0.284378
36,0.283077,0.279970
37,0.278100,0.276979
38,0.276291,0.278773
39,0.278365,0.290351
40,0.275697,0.292911
41,0.275800,0.277058
42,0.275378,0.285676
43,0.274640,0.279403
44,0.271310,0.276823
45,0.272753,0.274356
46,0.274450,0.275728
47,0.270894,0.271898
48,0.272190,0.275389
49,0.268464,0.274849
50,0.268947,0.270353
51,0.269727,0.277155
52,0.267746,0.269346
53,0.264671,0.274028
54,0.266637,0.274566
55,0.265471,0.274727
56,0.262782,0.270946
57,0.262888,0.271147
58,0.262714,0.268904
59,0.260251,0.269812
60,0.260266,0.272389
61,0.259458,0.269889
62,0.257503,0.274865
63,0.256300,0.267112
64,0.255881,0.273259
65,0.255475,0.265390
66,0.254012,0.271762
67,0.253440,0.273768
68,0.252023,0.266438
69,0.251536,0.267359
70,0.249827,0.269918
71,0.247567,0.270812
72,0.247698,0.263568
73,0.247912,0.264755
74,0.245688,0.265422
75,0.244127,0.266408
76,0.243300,0.264389
77,0.242515,0.263435
78,0.241636,0.264634
79,0.240466,0.263104
80,0.239964,0.265052
