epoch,train_loss,val_loss
1,0.255792,0.184904
2,0.178146,0.177944
3,0.169234,0.161175
4,0.164409,0.168762
5,0.161141,0.153946
6,0.159543,0.172838
7,0.156267,0.156428
8,0.155846,0.152114
9,0.153235,0.150906
10,0.153845,0.153937
11,0.151279,0.153203
12,0.150108,0.148979
13,0.148952,0.151470
14,0.151065,0.153349
15,0.150085,0.146093
16,0.147112,0.149041
17,0.147082,0.160615
18,0.145426,0.151888
19,0.146311,0.149013
20,0.145287,0.147620
21,0.146093,0.146593
22,0.143679,0.143230
23,0.142303,0.144257
24,0.143444,0.143122
25,0.142943,0.150402
26,0.143314,0.146325
27,0.142309,0.143153
28,0.142712,0.151374
29,0.140173,0.140252
30,0.140688,0.140661
31,0.140289,0.143080
32,0.139307,0.148913
33,0.138827,0.139568
34,0.137829,0.139810
35,0.138753,0.139848
36,0.137928,0.137207
37,0.138916,0.143600
38,0.136689,0.146372
39,0.136462,0.137296
40,0.136907,0.141041
41,0.135439,0.142277
42,0.134668,0.142012
43,0.134826,0.138743
44,0.135912,0.139796
45,0.134813,0.138139
46,0.136436,0.139672
47,0.133530,0.136348
48,0.132423,0.135130
49,0.132684,0.136496
50,0.131147,0.140593
51,0.131430,0.135842
52,0.130824,0.137296
53,0.130418,0.136669
54,0.130898,0.134710
55,0.128971,0.136087
56,0.129673,0.135424
57,0.128347,0.134012
58,0.128285,0.135559
59,0.127795,0.135735
60,0.128003,0.135100
61,0.127422,0.134796
62,0.126795,0.135324
63,0.127397,0.135462
64,0.125642,0.141190
65,0.125204,0.133487
66,0.124820,0.133617
67,0.124961,0.133215
68,0.123436,0.132625
69,0.123199,0.133915
70,0.122416,0.137061
71,0.122601,0.132069
72,0.122042,0.133585
73,0.120811,0.131749
74,0.120452,0.131927
75,0.119904,0.132550
76,0.119486,0.131425
77,0.118630,0.131280
78,0.118311,0.131748
79,0.117805,0.131090
80,0.117505,0.130754
