epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.296347,0.285955,1.00,0.120386,0.120555,0.055405
1,0.266144,0.267418,1.00,0.119543,0.120086,0.026515
2,0.251577,0.244595,1.00,0.118560,0.119747,0.013270
3,0.240544,0.224704,1.00,0.114306,0.119421,0.006817
4,0.215939,0.185616,1.00,0.095565,0.117496,0.002878
5,0.186809,0.161205,1.00,0.076737,0.108932,0.001141
6,0.164272,0.136308,1.00,0.069753,0.093712,0.000807
7,0.150615,0.120982,1.00,0.069947,0.079917,0.000751
8,0.143346,0.120302,1.00,0.068978,0.073521,0.000847
9,0.139215,0.114895,1.00,0.068269,0.070263,0.000683
10,0.140437,0.113415,1.00,0.068831,0.071214,0.000392
11,0.103166,0.075317,1.00,0.033394,0.069673,0.000099
12,0.087007,0.070559,1.00,0.017005,0.069962,0.000039
13,0.085235,0.075088,1.00,0.014708,0.070494,0.000033
14,0.084746,0.071028,1.00,0.015613,0.069096,0.000037
15,0.080979,0.072357,1.00,0.014101,0.066849,0.000029
16,0.081488,0.071986,1.00,0.013516,0.067943,0.000029
17,0.080855,0.072100,1.00,0.013282,0.067548,0.000024
18,0.082403,0.071561,1.00,0.013208,0.069171,0.000025
19,0.081692,0.071430,1.00,0.013431,0.068238,0.000023
20,0.046406,0.042924,0.50,0.012932,0.066922,0.000025
21,0.047967,0.043762,0.50,0.014129,0.067653,0.000023
22,0.044141,0.040918,0.50,0.011407,0.065442,0.000027
23,0.045458,0.042368,0.50,0.012325,0.066235,0.000031
24,0.045289,0.040769,0.50,0.011565,0.067415,0.000033
25,0.045464,0.037032,0.50,0.011418,0.068064,0.000027
26,0.048252,0.042145,0.50,0.014115,0.068252,0.000022
27,0.047487,0.039734,0.50,0.013638,0.067677,0.000021
28,0.046040,0.038920,0.50,0.012099,0.067860,0.000023
29,0.046853,0.042748,0.50,0.012523,0.068636,0.000025
30,0.043978,0.038866,0.50,0.011032,0.065866,0.000027
31,0.043728,0.038620,0.50,0.010657,0.066115,0.000025
32,0.045848,0.041160,0.50,0.012506,0.066658,0.000027
33,0.044657,0.037737,0.50,0.011388,0.066508,0.000028
34,0.045406,0.036587,0.50,0.012188,0.066402,0.000035
35,0.033885,0.020076,0.50,0.013397,0.040925,0.000050
36,0.016924,0.018171,0.50,0.009762,0.014255,0.000069
37,0.021308,0.017959,0.50,0.013343,0.015871,0.000059
38,0.019824,0.016450,0.50,0.012113,0.015352,0.000070
39,0.020092,0.015797,0.50,0.012543,0.015046,0.000053
40,0.012813,0.010632,0.00,0.012813,0.014615,0.000132
41,0.010967,0.012458,0.00,0.010967,0.014637,0.000080
42,0.010722,0.010871,0.00,0.010722,0.014980,0.000056
43,0.012882,0.015581,0.00,0.012882,0.016093,0.000091
44,0.011429,0.014315,0.00,0.011429,0.013929,0.000132
45,0.009282,0.018813,0.00,0.009282,0.014908,0.000256
46,0.010717,0.642275,0.00,0.010717,0.018766,0.000071
47,0.011208,0.306616,0.00,0.011208,0.017267,0.000078
48,0.009932,0.665821,0.00,0.009932,0.014374,0.000102
49,0.012159,0.011000,0.00,0.012159,0.019358,0.000193
50,0.010079,0.077204,0.00,0.010079,0.016021,0.000311
51,0.009348,1.757189,0.00,0.009348,0.019121,0.000241
52,0.009727,0.739998,0.00,0.009727,0.014230,0.000463
53,0.010169,0.805206,0.00,0.010169,0.014523,0.000521
54,0.011406,0.516900,0.00,0.011406,0.016741,0.002089
55,0.013044,0.355016,0.00,0.013044,0.017218,0.002024
56,0.010558,0.327767,0.00,0.010558,0.016266,0.000528
57,0.009521,0.348283,0.00,0.009521,0.020571,0.000797
58,0.010930,0.084534,0.00,0.010930,0.019404,0.001177
59,0.011700,0.194536,0.00,0.011700,0.017241,0.002336
60,0.009967,0.194673,0.00,0.009967,0.014233,0.004619
61,0.013725,0.310432,0.00,0.013725,0.028360,0.012055
62,0.012760,1.452758,0.00,0.012760,0.032657,0.013929
63,0.012190,0.052505,0.00,0.012190,0.023401,0.012167
64,0.011210,0.062743,0.00,0.011210,0.043404,0.012694
65,0.012526,0.077601,0.00,0.012526,0.045119,0.014119
66,0.013440,0.102759,0.00,0.013440,0.034278,0.013008
67,0.013971,0.014163,0.00,0.013971,0.038016,0.012634
68,0.010232,0.024169,0.00,0.010232,0.043471,0.010721
69,0.010574,0.015299,0.00,0.010574,0.042641,0.012483
70,0.009534,0.020425,0.00,0.009534,0.034316,0.012945
71,0.009695,0.010738,0.00,0.009695,0.045312,0.011789
72,0.010335,0.043721,0.00,0.010335,0.020588,0.009514
73,0.011322,0.023467,0.00,0.011322,0.027676,0.011198
74,0.012030,0.014810,0.00,0.012030,0.034184,0.010295
75,0.013286,0.075836,0.00,0.013286,0.060024,0.009931
76,0.009543,0.046367,0.00,0.009543,0.048133,0.008691
77,0.010497,0.160467,0.00,0.010497,0.054691,0.007529
78,0.009700,0.068935,0.00,0.009700,0.056358,0.009095
79,0.010510,0.051209,0.00,0.010510,0.032516,0.014376
