epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.086249,0.031621,1.00,0.013313,0.036237,0.036699
1,0.017825,0.011653,1.00,0.000443,0.008910,0.008472
2,0.006955,0.005140,1.00,0.000098,0.003634,0.003223
3,0.003550,0.002686,1.00,0.000048,0.001878,0.001624
4,0.002075,0.001645,1.00,0.000031,0.001103,0.000941
5,0.001324,0.001123,1.00,0.000023,0.000704,0.000597
6,0.000897,0.000769,1.00,0.000020,0.000476,0.000401
7,0.000635,0.000549,1.00,0.000018,0.000335,0.000281
8,0.000463,0.000399,1.00,0.000017,0.000243,0.000204
9,0.000348,0.000307,1.00,0.000016,0.000181,0.000151
10,0.000266,0.000241,1.00,0.000015,0.000137,0.000114
11,0.000208,0.000187,1.00,0.000015,0.000106,0.000087
12,0.000167,0.000149,1.00,0.000015,0.000084,0.000068
13,0.000134,0.000122,1.00,0.000014,0.000067,0.000054
14,0.000111,0.000103,1.00,0.000014,0.000054,0.000043
15,0.000094,0.000088,1.00,0.000014,0.000045,0.000035
16,0.000079,0.000071,1.00,0.000013,0.000037,0.000029
17,0.000068,0.000063,1.00,0.000013,0.000031,0.000024
18,0.000059,0.000056,1.00,0.000012,0.000027,0.000020
19,0.000053,0.000052,1.00,0.000012,0.000024,0.000017
20,0.000030,0.000029,0.50,0.000011,0.000022,0.000016
21,0.000028,0.000027,0.50,0.000011,0.000020,0.000014
22,0.000027,0.000027,0.50,0.000011,0.000019,0.000014
23,0.000026,0.000026,0.50,0.000011,0.000018,0.000012
24,0.000025,0.000025,0.50,0.000010,0.000017,0.000012
25,0.000023,0.000023,0.50,0.000010,0.000016,0.000011
26,0.000022,0.000024,0.50,0.000010,0.000015,0.000009
27,0.000021,0.000020,0.50,0.000010,0.000014,0.000009
28,0.000020,0.000020,0.50,0.000009,0.000013,0.000008
29,0.000019,0.000019,0.50,0.000009,0.000013,0.000008
30,0.000018,0.000018,0.50,0.000009,0.000012,0.000007
31,0.000018,0.000018,0.50,0.000009,0.000012,0.000007
32,0.000019,0.000021,0.50,0.000009,0.000012,0.000007
33,0.000018,0.000020,0.50,0.000009,0.000011,0.000006
34,0.000016,0.000017,0.50,0.000008,0.000011,0.000006
35,0.000016,0.000016,0.50,0.000008,0.000010,0.000005
36,0.000016,0.000016,0.50,0.000008,0.000010,0.000005
37,0.000016,0.000017,0.50,0.000008,0.000010,0.000005
38,0.000015,0.000016,0.50,0.000008,0.000009,0.000005
39,0.000014,0.000016,0.50,0.000007,0.000009,0.000004
40,0.000007,0.000007,0.00,0.000007,0.000011,0.000005
41,0.000006,0.000008,0.00,0.000006,0.000012,0.000005
42,0.000006,0.000008,0.00,0.000006,0.000012,0.000005
43,0.000007,0.000008,0.00,0.000007,0.000013,0.000016
44,0.000006,0.000009,0.00,0.000006,0.000014,0.000018
45,0.000006,0.000007,0.00,0.000006,0.000014,0.000018
46,0.000006,0.000008,0.00,0.000006,0.000016,0.000017
47,0.000006,0.000007,0.00,0.000006,0.000015,0.000019
48,0.000006,0.000008,0.00,0.000006,0.000016,0.000020
49,0.000006,0.000007,0.00,0.000006,0.000018,0.000025
50,0.000006,0.000007,0.00,0.000006,0.000017,0.000032
51,0.000006,0.000008,0.00,0.000006,0.000018,0.000037
52,0.000006,0.000008,0.00,0.000006,0.000021,0.000043
53,0.000006,0.000007,0.00,0.000006,0.000022,0.000051
54,0.000006,0.000009,0.00,0.000006,0.000021,0.000052
55,0.000006,0.000007,0.00,0.000006,0.000021,0.000049
56,0.000005,0.000007,0.00,0.000005,0.000023,0.000046
57,0.000005,0.000008,0.00,0.000005,0.000023,0.000078
58,0.000005,0.000008,0.00,0.000005,0.000028,0.000052
59,0.000005,0.000008,0.00,0.000005,0.000027,0.000071
60,0.000005,0.000008,0.00,0.000005,0.000033,0.000119
61,0.000005,0.000008,0.00,0.000005,0.000039,0.000093
62,0.000005,0.000008,0.00,0.000005,0.000039,0.000071
63,0.000005,0.000009,0.00,0.000005,0.000038,0.000062
64,0.000004,0.000008,0.00,0.000004,0.000080,0.000065
65,0.000004,0.000008,0.00,0.000004,0.000045,0.000056
66,0.000004,0.000009,0.00,0.000004,0.000062,0.000077
67,0.000004,0.000013,0.00,0.000004,0.000057,0.000072
68,0.000004,0.000009,0.00,0.000004,0.000075,0.000070
69,0.000004,0.000009,0.00,0.000004,0.000108,0.000076
70,0.000004,0.000010,0.00,0.000004,0.000085,0.000075
71,0.000004,0.000010,0.00,0.000004,0.000085,0.000066
72,0.000003,0.000010,0.00,0.000003,0.000084,0.000052
73,0.000003,0.000012,0.00,0.000003,0.000056,0.000052
74,0.000003,0.000012,0.00,0.000003,0.000069,0.000046
75,0.000003,0.000013,0.00,0.000003,0.000085,0.000062
76,0.000003,0.000012,0.00,0.000003,0.000074,0.000072
77,0.000003,0.000014,0.00,0.000003,0.000098,0.000076
78,0.000003,0.000013,0.00,0.000003,0.000087,0.000053
79,0.000003,0.000016,0.00,0.000003,0.000104,0.000063
