epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.382688,0.186889,1.00,0.158730,0.193663,0.030295
1,0.087335,0.046577,1.00,0.024103,0.060529,0.002703
2,0.045036,0.038702,1.00,0.020046,0.023523,0.001466
3,0.040086,0.039722,1.00,0.018769,0.020476,0.000842
4,0.037792,0.032389,1.00,0.018031,0.019236,0.000525
5,0.035289,0.033278,1.00,0.016968,0.017981,0.000341
6,0.034686,0.031050,1.00,0.016744,0.017696,0.000246
7,0.033822,0.031819,1.00,0.016370,0.017278,0.000174
8,0.032582,0.028962,1.00,0.015751,0.016707,0.000124
9,0.032283,0.032006,1.00,0.015631,0.016547,0.000104
10,0.031369,0.028901,1.00,0.015183,0.016106,0.000079
11,0.031029,0.027779,1.00,0.014959,0.016008,0.000062
12,0.030958,0.028905,1.00,0.014989,0.015919,0.000050
13,0.029976,0.028812,1.00,0.014414,0.015523,0.000040
14,0.029949,0.027266,1.00,0.014470,0.015447,0.000032
15,0.029833,0.028946,1.00,0.014336,0.015468,0.000029
16,0.028835,0.026077,1.00,0.013853,0.014959,0.000023
17,0.028719,0.026125,1.00,0.013777,0.014925,0.000018
18,0.028870,0.026657,1.00,0.013879,0.014972,0.000019
19,0.028218,0.026142,1.00,0.013537,0.014665,0.000016
20,0.020260,0.019843,0.50,0.013157,0.014190,0.000016
21,0.020499,0.019036,0.50,0.013285,0.014413,0.000016
22,0.019769,0.019347,0.50,0.012807,0.013908,0.000015
23,0.019752,0.020254,0.50,0.012757,0.013973,0.000016
24,0.020035,0.019070,0.50,0.012959,0.014138,0.000014
25,0.019428,0.018096,0.50,0.012564,0.013711,0.000017
26,0.019610,0.019384,0.50,0.012630,0.013948,0.000012
27,0.019564,0.018974,0.50,0.012651,0.013812,0.000014
28,0.018925,0.021383,0.50,0.012184,0.013469,0.000013
29,0.019060,0.020363,0.50,0.012254,0.013600,0.000013
30,0.018958,0.017971,0.50,0.012210,0.013483,0.000012
31,0.019119,0.017984,0.50,0.012326,0.013575,0.000011
32,0.019019,0.019268,0.50,0.012262,0.013504,0.000011
33,0.018948,0.018390,0.50,0.012226,0.013433,0.000010
34,0.018720,0.017952,0.50,0.012067,0.013294,0.000011
35,0.018213,0.018737,0.50,0.011710,0.012994,0.000012
36,0.018487,0.019908,0.50,0.011899,0.013164,0.000012
37,0.018185,0.021565,0.50,0.011714,0.012931,0.000012
38,0.017985,0.018699,0.50,0.011551,0.012856,0.000011
39,0.018249,0.018973,0.50,0.011735,0.013017,0.000009
40,0.011785,0.013258,0.00,0.011785,0.013300,0.000016
41,0.011649,0.011055,0.00,0.011649,0.013337,0.000027
42,0.011621,0.011389,0.00,0.011621,0.013752,0.000044
43,0.011522,0.012547,0.00,0.011522,0.013894,0.000032
44,0.011577,0.011185,0.00,0.011577,0.014249,0.000056
45,0.011878,0.011248,0.00,0.011878,0.014483,0.000059
46,0.011606,0.010938,0.00,0.011606,0.014335,0.000072
47,0.011557,0.010810,0.00,0.011557,0.014351,0.000076
48,0.011605,0.011562,0.00,0.011605,0.014820,0.000083
49,0.011305,0.011632,0.00,0.011305,0.014384,0.000074
50,0.011317,0.010696,0.00,0.011317,0.014783,0.000075
51,0.011492,0.011227,0.00,0.011492,0.016442,0.000088
52,0.011297,0.010748,0.00,0.011297,0.017197,0.000054
53,0.011259,0.010855,0.00,0.011259,0.015399,0.000058
54,0.011033,0.013513,0.00,0.011033,0.016493,0.000056
55,0.011189,0.010755,0.00,0.011189,0.015632,0.000086
56,0.011100,0.013938,0.00,0.011100,0.015736,0.000146
57,0.011010,0.011124,0.00,0.011010,0.018600,0.000163
58,0.011109,0.012713,0.00,0.011109,0.017041,0.000097
59,0.010789,0.010651,0.00,0.010789,0.016115,0.000057
60,0.010729,0.011091,0.00,0.010729,0.016246,0.000205
61,0.010714,0.013210,0.00,0.010714,0.016547,0.000140
62,0.010926,0.012863,0.00,0.010926,0.017657,0.000172
63,0.010581,0.010352,0.00,0.010581,0.015665,0.000152
64,0.010778,0.012032,0.00,0.010778,0.015564,0.000126
65,0.010296,0.010434,0.00,0.010296,0.016431,0.000129
66,0.010720,0.010527,0.00,0.010720,0.017531,0.000276
67,0.010460,0.011181,0.00,0.010460,0.018319,0.000629
68,0.010424,0.010676,0.00,0.010424,0.015748,0.000300
69,0.010504,0.010665,0.00,0.010504,0.016270,0.000235
70,0.010355,0.011021,0.00,0.010355,0.021638,0.000243
71,0.010324,0.014622,0.00,0.010324,0.016582,0.000433
72,0.010447,0.010210,0.00,0.010447,0.021101,0.000477
73,0.010175,0.011289,0.00,0.010175,0.022113,0.000291
74,0.010100,0.010403,0.00,0.010100,0.018585,0.000368
75,0.010051,0.010803,0.00,0.010051,0.020460,0.000349
76,0.010006,0.010486,0.00,0.010006,0.018497,0.000417
77,0.010068,0.010422,0.00,0.010068,0.018208,0.000898
78,0.010125,0.010047,0.00,0.010125,0.019486,0.000589
79,0.009911,0.012383,0.00,0.009911,0.020751,0.000527
