epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.268347,0.202388,1.00,0.115975,0.120001,0.032371
1,0.091087,0.031448,1.00,0.020498,0.068288,0.002302
2,0.028243,0.024655,1.00,0.011768,0.015405,0.001069
3,0.024221,0.025632,1.00,0.011021,0.012534,0.000665
4,0.022239,0.021466,1.00,0.010430,0.011383,0.000426
5,0.021588,0.020092,1.00,0.010170,0.011111,0.000307
6,0.020646,0.017815,1.00,0.009837,0.010607,0.000202
7,0.019772,0.017631,1.00,0.009486,0.010145,0.000140
8,0.019067,0.016988,1.00,0.009156,0.009808,0.000103
9,0.018667,0.017896,1.00,0.008989,0.009602,0.000077
10,0.018349,0.017062,1.00,0.008805,0.009482,0.000062
11,0.018309,0.017399,1.00,0.008801,0.009459,0.000048
12,0.017853,0.016349,1.00,0.008592,0.009225,0.000037
13,0.017357,0.015568,1.00,0.008349,0.008979,0.000028
14,0.017026,0.016598,1.00,0.008195,0.008806,0.000025
15,0.017210,0.017015,1.00,0.008272,0.008916,0.000021
16,0.016724,0.014987,1.00,0.008053,0.008652,0.000019
17,0.016694,0.015238,1.00,0.008040,0.008640,0.000015
18,0.016665,0.014848,1.00,0.008043,0.008609,0.000013
19,0.016244,0.014961,1.00,0.007803,0.008429,0.000012
20,0.011813,0.010786,0.50,0.007700,0.008216,0.000012
21,0.011945,0.012736,0.50,0.007756,0.008365,0.000013
22,0.011738,0.010831,0.50,0.007631,0.008203,0.000011
23,0.011510,0.010806,0.50,0.007465,0.008081,0.000011
24,0.011513,0.011037,0.50,0.007448,0.008120,0.000010
25,0.011300,0.010896,0.50,0.007325,0.007938,0.000012
26,0.011188,0.011821,0.50,0.007239,0.007889,0.000010
27,0.011354,0.010906,0.50,0.007363,0.007972,0.000009
28,0.011096,0.010980,0.50,0.007184,0.007813,0.000010
29,0.011398,0.010322,0.50,0.007384,0.008020,0.000009
30,0.011151,0.011229,0.50,0.007218,0.007858,0.000009
31,0.010881,0.010281,0.50,0.007029,0.007693,0.000009
32,0.010979,0.010072,0.50,0.007096,0.007755,0.000011
33,0.010899,0.010689,0.50,0.007029,0.007730,0.000008
34,0.010935,0.010388,0.50,0.007063,0.007734,0.000009
35,0.010786,0.010144,0.50,0.006966,0.007630,0.000010
36,0.010665,0.010021,0.50,0.006879,0.007562,0.000010
37,0.010561,0.010038,0.50,0.006825,0.007463,0.000009
38,0.010560,0.010408,0.50,0.006818,0.007474,0.000009
39,0.010549,0.010336,0.50,0.006803,0.007483,0.000009
40,0.006785,0.006929,0.00,0.006785,0.007540,0.000011
41,0.006685,0.008249,0.00,0.006685,0.007796,0.000025
42,0.006778,0.007997,0.00,0.006778,0.007871,0.000025
43,0.006640,0.006743,0.00,0.006640,0.008268,0.000045
44,0.006631,0.007662,0.00,0.006631,0.008451,0.000031
45,0.006683,0.007170,0.00,0.006683,0.008151,0.000073
46,0.006627,0.006812,0.00,0.006627,0.008070,0.000091
47,0.006791,0.007293,0.00,0.006791,0.008532,0.000103
48,0.006681,0.006889,0.00,0.006681,0.008468,0.000149
49,0.006406,0.069082,0.00,0.006406,0.008242,0.000131
50,0.006688,0.006624,0.00,0.006688,0.010852,0.000139
51,0.006531,0.017947,0.00,0.006531,0.009038,0.000172
52,0.006655,0.069803,0.00,0.006655,0.008909,0.000173
53,0.006463,0.079099,0.00,0.006463,0.009153,0.000070
54,0.006381,0.057461,0.00,0.006381,0.008734,0.000227
55,0.006491,0.010036,0.00,0.006491,0.009054,0.000261
56,0.006351,0.078338,0.00,0.006351,0.010947,0.000240
57,0.006398,0.071007,0.00,0.006398,0.009576,0.000125
58,0.006372,0.059207,0.00,0.006372,0.008722,0.000207
59,0.006289,0.074212,0.00,0.006289,0.009065,0.000140
60,0.006358,0.013547,0.00,0.006358,0.009964,0.000089
61,0.006384,0.013182,0.00,0.006384,0.009770,0.000133
62,0.006333,0.034064,0.00,0.006333,0.008931,0.000177
63,0.006119,0.053577,0.00,0.006119,0.008839,0.000281
64,0.006210,0.076559,0.00,0.006210,0.009354,0.000110
65,0.006085,0.012045,0.00,0.006085,0.009089,0.000139
66,0.006133,0.085355,0.00,0.006133,0.009802,0.000173
67,0.006165,0.044222,0.00,0.006165,0.009711,0.000100
68,0.006201,0.010710,0.00,0.006201,0.010520,0.000137
69,0.006224,0.025142,0.00,0.006224,0.011956,0.000179
70,0.006065,0.014153,0.00,0.006065,0.011912,0.000160
71,0.005995,0.057328,0.00,0.005995,0.012452,0.000143
72,0.006080,0.097862,0.00,0.006080,0.010259,0.000212
73,0.006076,0.092963,0.00,0.006076,0.009376,0.000314
74,0.005958,0.093808,0.00,0.005958,0.010051,0.000274
75,0.006025,0.017429,0.00,0.006025,0.014538,0.000326
76,0.006086,0.030154,0.00,0.006086,0.013436,0.000277
77,0.005895,0.089292,0.00,0.005895,0.012896,0.000207
78,0.006014,0.091803,0.00,0.006014,0.011903,0.000162
79,0.005882,0.088818,0.00,0.005882,0.018988,0.000226
