epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.381401,0.186731,1.00,0.157787,0.193266,0.030348
1,0.087311,0.045077,1.00,0.023055,0.061767,0.002489
2,0.043738,0.036019,1.00,0.019103,0.023294,0.001340
3,0.039329,0.042617,1.00,0.018179,0.020371,0.000778
4,0.036058,0.030585,1.00,0.017047,0.018537,0.000475
5,0.034607,0.031802,1.00,0.016509,0.017782,0.000316
6,0.033362,0.029105,1.00,0.015990,0.017137,0.000234
7,0.032485,0.031133,1.00,0.015608,0.016720,0.000157
8,0.031386,0.029073,1.00,0.015115,0.016157,0.000114
9,0.031303,0.028090,1.00,0.015089,0.016129,0.000084
10,0.030178,0.028093,1.00,0.014563,0.015551,0.000064
11,0.029960,0.026540,1.00,0.014460,0.015452,0.000048
12,0.029257,0.026604,1.00,0.014091,0.015125,0.000041
13,0.028806,0.027001,1.00,0.013880,0.014893,0.000032
14,0.028308,0.025012,1.00,0.013680,0.014597,0.000031
15,0.028287,0.025956,1.00,0.013622,0.014641,0.000024
16,0.027967,0.024883,1.00,0.013460,0.014488,0.000019
17,0.027966,0.024975,1.00,0.013467,0.014481,0.000018
18,0.027321,0.026395,1.00,0.013184,0.014121,0.000015
19,0.026953,0.029410,1.00,0.012988,0.013950,0.000015
20,0.019562,0.019191,0.50,0.012766,0.013576,0.000016
21,0.019594,0.017392,0.50,0.012737,0.013699,0.000013
22,0.019200,0.018398,0.50,0.012482,0.013424,0.000013
23,0.019172,0.017922,0.50,0.012454,0.013422,0.000015
24,0.019374,0.019461,0.50,0.012571,0.013594,0.000012
25,0.018750,0.018508,0.50,0.012167,0.013153,0.000013
26,0.018561,0.019030,0.50,0.012027,0.013055,0.000013
27,0.018901,0.017447,0.50,0.012246,0.013298,0.000012
28,0.018510,0.017641,0.50,0.011972,0.013064,0.000012
29,0.018368,0.018258,0.50,0.011874,0.012975,0.000013
30,0.018386,0.018367,0.50,0.011886,0.012990,0.000011
31,0.018406,0.018563,0.50,0.011905,0.012991,0.000010
32,0.017971,0.016957,0.50,0.011603,0.012724,0.000012
33,0.018135,0.022390,0.50,0.011700,0.012859,0.000010
34,0.018006,0.018116,0.50,0.011631,0.012741,0.000010
35,0.017660,0.016799,0.50,0.011392,0.012526,0.000009
36,0.017502,0.016511,0.50,0.011290,0.012412,0.000011
37,0.017695,0.017844,0.50,0.011396,0.012586,0.000012
38,0.017424,0.016253,0.50,0.011236,0.012366,0.000011
39,0.017058,0.016738,0.50,0.010988,0.012128,0.000010
40,0.011122,0.011114,0.00,0.011122,0.012352,0.000014
41,0.011099,0.035779,0.00,0.011099,0.013064,0.000018
42,0.011207,0.011010,0.00,0.011207,0.013253,0.000029
43,0.011280,0.010286,0.00,0.011280,0.014628,0.000030
44,0.011239,0.011079,0.00,0.011239,0.014205,0.000020
45,0.011204,0.011487,0.00,0.011204,0.014248,0.000045
46,0.011001,0.012600,0.00,0.011001,0.014931,0.000053
47,0.011104,0.012532,0.00,0.011104,0.014671,0.000092
48,0.011167,0.010614,0.00,0.011167,0.023985,0.000029
49,0.010913,0.010749,0.00,0.010913,0.016275,0.000060
50,0.011089,0.011346,0.00,0.011089,0.017083,0.000072
51,0.011033,0.011714,0.00,0.011033,0.018508,0.000074
52,0.010969,0.011540,0.00,0.010969,0.017801,0.000074
53,0.010852,0.013040,0.00,0.010852,0.021255,0.000069
54,0.010722,0.013291,0.00,0.010722,0.018517,0.000123
55,0.010671,0.013698,0.00,0.010671,0.017728,0.000092
56,0.010641,0.014375,0.00,0.010641,0.015876,0.000091
57,0.010690,0.013828,0.00,0.010690,0.019150,0.000081
58,0.010459,0.011838,0.00,0.010459,0.022529,0.000067
59,0.010593,0.012280,0.00,0.010593,0.017880,0.000115
60,0.010772,0.015469,0.00,0.010772,0.018709,0.000156
61,0.010683,0.012379,0.00,0.010683,0.019841,0.000106
62,0.010420,0.011830,0.00,0.010420,0.030115,0.000298
63,0.010340,0.012044,0.00,0.010340,0.022380,0.000240
64,0.010582,0.018579,0.00,0.010582,0.028198,0.000170
65,0.010356,0.017354,0.00,0.010356,0.021941,0.000227
66,0.010636,0.013781,0.00,0.010636,0.018788,0.000215
67,0.010210,0.118252,0.00,0.010210,0.028534,0.000122
68,0.010374,0.010927,0.00,0.010374,0.023841,0.000133
69,0.010259,0.013674,0.00,0.010259,0.025469,0.000168
70,0.010321,0.023229,0.00,0.010321,0.023783,0.000211
71,0.010293,0.034012,0.00,0.010293,0.022078,0.000190
72,0.010211,0.067669,0.00,0.010211,0.021171,0.000085
73,0.010202,0.109164,0.00,0.010202,0.028687,0.000061
74,0.010038,0.033655,0.00,0.010038,0.033620,0.000093
75,0.010324,0.029393,0.00,0.010324,0.039806,0.000081
76,0.010082,0.028103,0.00,0.010082,0.034374,0.000085
77,0.009956,0.083360,0.00,0.009956,0.034596,0.000087
78,0.010039,0.015840,0.00,0.010039,0.030829,0.000134
79,0.010110,0.090578,0.00,0.010110,0.028265,0.000157
