epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.136504,0.028865,1.00,0.054600,0.071141,0.010763
1,0.029413,0.024529,1.00,0.014232,0.014785,0.000395
2,0.025828,0.021261,1.00,0.012629,0.013006,0.000192
3,0.024480,0.021758,1.00,0.011935,0.012430,0.000115
4,0.023029,0.025064,1.00,0.011168,0.011781,0.000080
5,0.021801,0.020009,1.00,0.010532,0.011212,0.000058
6,0.021304,0.020378,1.00,0.010281,0.010976,0.000046
7,0.020735,0.017398,1.00,0.010002,0.010695,0.000037
8,0.019853,0.019867,1.00,0.009549,0.010273,0.000031
9,0.019661,0.017136,1.00,0.009465,0.010169,0.000027
10,0.019217,0.018685,1.00,0.009253,0.009942,0.000023
11,0.018781,0.017290,1.00,0.009030,0.009729,0.000021
12,0.018595,0.019692,1.00,0.008958,0.009615,0.000021
13,0.017786,0.023839,1.00,0.008523,0.009245,0.000018
14,0.018006,0.019338,1.00,0.008663,0.009326,0.000016
15,0.017796,0.016251,1.00,0.008543,0.009236,0.000016
16,0.017382,0.016802,1.00,0.008318,0.009050,0.000014
17,0.017144,0.017041,1.00,0.008230,0.008900,0.000013
18,0.017143,0.016302,1.00,0.008230,0.008900,0.000013
19,0.016557,0.017169,1.00,0.007921,0.008623,0.000012
20,0.011802,0.013808,0.50,0.007641,0.008307,0.000013
21,0.011756,0.013219,0.50,0.007607,0.008283,0.000015
22,0.011720,0.012550,0.50,0.007551,0.008322,0.000014
23,0.011563,0.012756,0.50,0.007466,0.008181,0.000014
24,0.011569,0.016036,0.50,0.007460,0.008205,0.000013
25,0.011215,0.011095,0.50,0.007220,0.007977,0.000013
26,0.011293,0.012298,0.50,0.007270,0.008029,0.000015
27,0.011270,0.011368,0.50,0.007250,0.008027,0.000012
28,0.010928,0.012696,0.50,0.007018,0.007809,0.000012
29,0.010877,0.011105,0.50,0.006983,0.007777,0.000011
30,0.010983,0.011286,0.50,0.007044,0.007867,0.000011
31,0.010726,0.011401,0.50,0.006880,0.007681,0.000012
32,0.010747,0.010591,0.50,0.006886,0.007709,0.000012
33,0.010415,0.014074,0.50,0.006661,0.007499,0.000010
34,0.010618,0.011184,0.50,0.006817,0.007591,0.000011
35,0.010431,0.011587,0.50,0.006670,0.007511,0.000012
36,0.010110,0.011140,0.50,0.006455,0.007299,0.000011
37,0.010096,0.010545,0.50,0.006457,0.007267,0.000011
38,0.009950,0.010869,0.50,0.006354,0.007183,0.000010
39,0.009971,0.018598,0.50,0.006378,0.007176,0.000010
40,0.006037,0.007636,0.00,0.006037,0.007098,0.000015
41,0.005977,0.007081,0.00,0.005977,0.007226,0.000025
42,0.006026,0.006862,0.00,0.006026,0.007398,0.000031
43,0.005911,0.007201,0.00,0.005911,0.007400,0.000026
44,0.005920,0.007626,0.00,0.005920,0.007716,0.000033
45,0.005917,0.007540,0.00,0.005917,0.007769,0.000043
46,0.005908,0.007493,0.00,0.005908,0.007776,0.000087
47,0.005842,0.006877,0.00,0.005842,0.008029,0.000060
48,0.005820,0.007480,0.00,0.005820,0.007889,0.000105
49,0.005650,0.007376,0.00,0.005650,0.007882,0.000072
50,0.005560,0.009293,0.00,0.005560,0.007930,0.000056
51,0.005648,0.007004,0.00,0.005648,0.008245,0.000074
52,0.005589,0.007645,0.00,0.005589,0.008382,0.000053
53,0.005663,0.008796,0.00,0.005663,0.008464,0.000090
54,0.005510,0.008039,0.00,0.005510,0.008330,0.000084
55,0.005398,0.008894,0.00,0.005398,0.008418,0.000070
56,0.005338,0.008244,0.00,0.005338,0.008889,0.000072
57,0.005117,0.007573,0.00,0.005117,0.008863,0.000068
58,0.005256,0.008120,0.00,0.005256,0.009346,0.000058
59,0.005150,0.009874,0.00,0.005150,0.009054,0.000075
