epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.005136,0.000026,0.000815,0.003183,0.020052
2,0.000080,0.000024,0.000026,0.000067,0.000256
3,0.000042,0.000015,0.000022,0.000033,0.000109
4,0.000032,0.000018,0.000019,0.000025,0.000077
5,0.000027,0.000016,0.000017,0.000021,0.000063
6,0.000026,0.000014,0.000016,0.000023,0.000059
7,0.000021,0.000012,0.000013,0.000017,0.000050
8,0.000021,0.000013,0.000013,0.000016,0.000050
9,0.000021,0.000014,0.000013,0.000016,0.000049
10,0.000020,0.000012,0.000013,0.000015,0.000048
11,0.000018,0.000011,0.000012,0.000014,0.000044
12,0.000018,0.000010,0.000011,0.000013,0.000042
13,0.000018,0.000012,0.000011,0.000013,0.000042
14,0.000018,0.000012,0.000011,0.000013,0.000042
15,0.000016,0.000010,0.000010,0.000012,0.000039
16,0.000017,0.000010,0.000010,0.000012,0.000040
17,0.000016,0.000012,0.000010,0.000012,0.000039
18,0.000016,0.000010,0.000010,0.000012,0.000037
19,0.000016,0.000010,0.000010,0.000012,0.000038
20,0.000015,0.000010,0.000010,0.000011,0.000037
21,0.000015,0.000010,0.000010,0.000011,0.000037
22,0.000015,0.000010,0.000009,0.000011,0.000035
23,0.000015,0.000010,0.000009,0.000011,0.000035
24,0.000014,0.000014,0.000009,0.000011,0.000034
25,0.000014,0.000010,0.000009,0.000011,0.000034
26,0.000014,0.000010,0.000009,0.000011,0.000034
27,0.000014,0.000009,0.000008,0.000010,0.000033
28,0.000014,0.000012,0.000009,0.000010,0.000033
29,0.000014,0.000017,0.000009,0.000011,0.000034
30,0.000013,0.000010,0.000008,0.000010,0.000032
31,0.000013,0.000017,0.000008,0.000010,0.000032
32,0.000013,0.000009,0.000008,0.000010,0.000032
33,0.000013,0.000009,0.000008,0.000010,0.000031
34,0.000013,0.000009,0.000008,0.000010,0.000031
35,0.000013,0.000009,0.000008,0.000009,0.000030
36,0.000012,0.000008,0.000008,0.000009,0.000030
37,0.000012,0.000009,0.000008,0.000009,0.000029
38,0.000012,0.000013,0.000008,0.000009,0.000030
39,0.000012,0.000008,0.000007,0.000009,0.000029
40,0.000012,0.000009,0.000007,0.000009,0.000029
41,0.000012,0.000028,0.000007,0.000009,0.000029
42,0.000012,0.000008,0.000008,0.000009,0.000030
43,0.000011,0.000009,0.000007,0.000009,0.000027
44,0.000011,0.000021,0.000007,0.000009,0.000027
45,0.000011,0.000009,0.000007,0.000009,0.000027
46,0.000011,0.000010,0.000007,0.000009,0.000027
47,0.000011,0.000008,0.000007,0.000009,0.000027
48,0.000011,0.000009,0.000007,0.000009,0.000026
49,0.000011,0.000009,0.000007,0.000008,0.000026
50,0.000011,0.000008,0.000007,0.000009,0.000026
51,0.000011,0.000008,0.000006,0.000008,0.000025
52,0.000011,0.000009,0.000007,0.000009,0.000027
53,0.000010,0.000008,0.000006,0.000008,0.000025
54,0.000011,0.000013,0.000006,0.000008,0.000025
55,0.000010,0.000010,0.000006,0.000008,0.000025
56,0.000011,0.000010,0.000007,0.000008,0.000026
57,0.000010,0.000008,0.000006,0.000008,0.000025
58,0.000010,0.000011,0.000006,0.000008,0.000024
59,0.000010,0.000008,0.000006,0.000008,0.000025
60,0.000010,0.000010,0.000006,0.000008,0.000024
