epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.269533,0.220964,1.00,0.117436,0.120201,0.031896
1,0.101812,0.034525,1.00,0.024610,0.075035,0.002167
2,0.031836,0.025734,1.00,0.013678,0.017205,0.000953
3,0.027313,0.023877,1.00,0.012701,0.014015,0.000596
4,0.025100,0.024487,1.00,0.011947,0.012761,0.000391
5,0.023983,0.022196,1.00,0.011544,0.012173,0.000266
6,0.023073,0.020868,1.00,0.011188,0.011696,0.000189
7,0.022515,0.020125,1.00,0.010959,0.011413,0.000142
8,0.021336,0.019563,1.00,0.010388,0.010839,0.000109
9,0.021100,0.020377,1.00,0.010322,0.010694,0.000084
10,0.020360,0.018792,1.00,0.009965,0.010328,0.000067
11,0.020191,0.018905,1.00,0.009892,0.010245,0.000055
12,0.020106,0.021470,1.00,0.009869,0.010188,0.000049
13,0.018945,0.019249,1.00,0.009276,0.009627,0.000041
14,0.019166,0.017692,1.00,0.009387,0.009738,0.000041
15,0.018849,0.017659,1.00,0.009245,0.009573,0.000031
16,0.018414,0.017513,1.00,0.009028,0.009360,0.000026
17,0.018244,0.016955,1.00,0.008938,0.009281,0.000024
18,0.017896,0.018325,1.00,0.008767,0.009107,0.000023
19,0.017592,0.018021,1.00,0.008623,0.008950,0.000020
20,0.012711,0.012375,0.50,0.008340,0.008720,0.000021
21,0.012758,0.012623,0.50,0.008379,0.008738,0.000020
22,0.012584,0.014676,0.50,0.008253,0.008644,0.000019
23,0.012309,0.012512,0.50,0.008063,0.008471,0.000020
24,0.012329,0.012787,0.50,0.008081,0.008477,0.000020
25,0.012057,0.012139,0.50,0.007893,0.008310,0.000018
26,0.012000,0.013226,0.50,0.007838,0.008306,0.000017
27,0.012084,0.012707,0.50,0.007899,0.008352,0.000018
28,0.011819,0.012322,0.50,0.007712,0.008196,0.000017
29,0.011749,0.012956,0.50,0.007672,0.008137,0.000016
30,0.011619,0.012081,0.50,0.007566,0.008089,0.000016
31,0.011446,0.012005,0.50,0.007450,0.007979,0.000015
32,0.011445,0.012647,0.50,0.007446,0.007983,0.000016
33,0.011281,0.012457,0.50,0.007331,0.007885,0.000016
34,0.011075,0.013043,0.50,0.007196,0.007745,0.000015
35,0.011149,0.012153,0.50,0.007251,0.007782,0.000014
36,0.010763,0.011463,0.50,0.006993,0.007525,0.000015
37,0.010767,0.012671,0.50,0.006991,0.007538,0.000015
38,0.010723,0.011409,0.50,0.006955,0.007522,0.000015
39,0.010529,0.012810,0.50,0.006825,0.007394,0.000014
40,0.006490,0.007382,0.00,0.006490,0.007167,0.000020
41,0.006466,0.007681,0.00,0.006466,0.007268,0.000021
42,0.006527,0.007889,0.00,0.006527,0.007450,0.000028
43,0.006433,0.007639,0.00,0.006433,0.007414,0.000028
44,0.006396,0.007903,0.00,0.006396,0.007454,0.000027
45,0.006309,0.007467,0.00,0.006309,0.007478,0.000030
46,0.006195,0.008192,0.00,0.006195,0.007498,0.000036
47,0.006235,0.009138,0.00,0.006235,0.007663,0.000045
48,0.006220,0.007969,0.00,0.006220,0.007726,0.000051
49,0.006111,0.007655,0.00,0.006111,0.007554,0.000049
50,0.005952,0.007438,0.00,0.005952,0.007416,0.000048
51,0.006000,0.007987,0.00,0.006000,0.007508,0.000054
52,0.005876,0.007430,0.00,0.005876,0.007656,0.000044
53,0.005957,0.009611,0.00,0.005957,0.008092,0.000047
54,0.005699,0.007539,0.00,0.005699,0.007611,0.000052
55,0.005760,0.007568,0.00,0.005760,0.007940,0.000053
56,0.005613,0.007812,0.00,0.005613,0.007968,0.000061
57,0.005568,0.007498,0.00,0.005568,0.007700,0.000072
58,0.005554,0.007625,0.00,0.005554,0.007819,0.000071
59,0.005384,0.008184,0.00,0.005384,0.008178,0.000079
60,0.005398,0.007963,0.00,0.005398,0.007913,0.000069
61,0.005382,0.008409,0.00,0.005382,0.008086,0.000067
62,0.005323,0.007691,0.00,0.005323,0.008345,0.000072
63,0.005210,0.007941,0.00,0.005210,0.009087,0.000062
64,0.005222,0.007962,0.00,0.005222,0.009967,0.000079
65,0.005027,0.008259,0.00,0.005027,0.009231,0.000064
66,0.005139,0.008079,0.00,0.005139,0.009772,0.000065
67,0.005014,0.009763,0.00,0.005014,0.010458,0.000071
68,0.004896,0.008466,0.00,0.004896,0.012212,0.000080
69,0.004829,0.011195,0.00,0.004829,0.010601,0.000087
70,0.004940,0.008517,0.00,0.004940,0.012368,0.000070
71,0.004747,0.013889,0.00,0.004747,0.012912,0.000071
72,0.004785,0.040735,0.00,0.004785,0.015160,0.000085
73,0.004782,0.055516,0.00,0.004782,0.018813,0.000097
74,0.004653,0.056985,0.00,0.004653,0.018416,0.000082
75,0.004632,0.017963,0.00,0.004632,0.016862,0.000081
76,0.004505,0.080248,0.00,0.004505,0.016333,0.000087
77,0.004437,0.083500,0.00,0.004437,0.015969,0.000071
78,0.004585,0.073052,0.00,0.004585,0.015717,0.000057
79,0.004411,0.085389,0.00,0.004411,0.023860,0.000065
