epoch,train_loss,train_acc,val_loss,val_acc
1,0.054231,0.996405,0.003719,0.999905
2,0.001769,0.999937,0.000915,0.999947
3,0.000680,0.999946,0.000471,0.999940
4,0.000352,0.999963,0.000276,0.999966
5,0.000342,0.999942,0.000214,0.999949
6,0.000214,0.999957,0.000142,0.999969
7,0.000183,0.999960,0.000136,0.999957
8,0.000143,0.999964,0.000118,0.999966
9,0.000149,0.999960,0.000117,0.999966
10,0.000151,0.999960,0.000131,0.999943
11,0.000125,0.999963,0.000071,0.999973
12,0.000127,0.999963,0.000085,0.999969
13,0.000158,0.999954,0.000185,0.999954
14,0.000144,0.999958,0.000129,0.999963
15,0.000112,0.999964,0.000085,0.999961
16,0.000103,0.999967,0.000110,0.999948
17,0.000130,0.999961,0.000126,0.999945
18,0.000169,0.999955,0.000136,0.999958
19,0.000106,0.999965,0.000085,0.999960
20,0.000101,0.999966,0.000110,0.999948
21,0.000091,0.999970,0.000117,0.999943
22,0.000102,0.999968,0.000074,0.999965
23,0.000086,0.999971,0.000098,0.999956
24,0.000098,0.999967,0.000091,0.999958
25,0.000090,0.999970,0.000066,0.999976
26,0.000098,0.999967,0.000064,0.999969
27,0.000102,0.999968,0.000078,0.999974
28,0.000088,0.999973,0.000066,0.999969
29,0.000081,0.999974,0.000067,0.999970
30,0.000077,0.999974,0.000067,0.999974
31,0.000076,0.999974,0.000065,0.999970
32,0.000098,0.999965,0.000100,0.999974
33,0.000085,0.999972,0.000059,0.999972
34,0.000086,0.999972,0.000063,0.999979
35,0.000078,0.999974,0.000055,0.999976
36,0.000084,0.999972,0.000059,0.999973
37,0.000066,0.999976,0.000085,0.999966
38,0.000070,0.999974,0.000058,0.999977
39,0.000071,0.999976,0.000053,0.999976
40,0.000075,0.999974,0.000064,0.999971
41,0.000077,0.999975,0.000055,0.999975
42,0.000082,0.999974,0.000059,0.999978
43,0.000072,0.999974,0.000069,0.999974
44,0.000070,0.999976,0.000081,0.999960
45,0.000071,0.999976,0.000057,0.999976
46,0.000069,0.999975,0.000063,0.999970
47,0.000069,0.999975,0.000059,0.999975
48,0.000086,0.999974,0.001992,0.999970
49,0.000071,0.999976,0.000057,0.999973
50,0.000071,0.999976,0.000050,0.999980
51,0.000067,0.999976,0.000066,0.999971
52,0.000065,0.999977,0.000053,0.999976
53,0.000064,0.999977,0.000055,0.999975
54,0.000071,0.999974,0.000060,0.999973
55,0.000061,0.999978,0.000078,0.999961
56,0.000076,0.999977,0.000071,0.999969
57,0.000064,0.999977,0.000045,0.999982
58,0.000062,0.999977,0.000066,0.999971
59,0.000060,0.999979,0.000050,0.999978
60,0.000063,0.999977,0.000049,0.999984
