epoch,train_loss,train_acc,val_loss,val_acc
1,0.207508,0.435808,0.777890,0.035380
2,0.127660,0.469363,0.141351,0.501390
3,0.094238,0.469985,0.100257,0.501444
4,0.070947,0.470096,0.070543,0.502231
5,0.054260,0.470345,0.054693,0.502583
6,0.042040,0.470413,0.039462,0.502757
7,0.033115,0.470453,0.031909,0.502760
8,0.026745,0.470509,0.026201,0.502836
9,0.021767,0.470640,0.020648,0.502946
10,0.018299,0.470651,0.018562,0.502929
11,0.015570,0.470680,0.014667,0.502998
12,0.013422,0.470744,0.012738,0.503076
13,0.011627,0.470790,0.011384,0.503075
14,0.010230,0.470814,0.009846,0.503068
15,0.009097,0.470849,0.008889,0.503107
16,0.008172,0.470858,0.008180,0.503113
17,0.007436,0.470861,0.007539,0.503194
18,0.006716,0.470893,0.006550,0.503206
19,0.006206,0.470890,0.006109,0.503137
20,0.005666,0.470920,0.005460,0.503255
21,0.005278,0.470920,0.005301,0.503167
22,0.004926,0.470927,0.005071,0.503113
23,0.004666,0.470904,0.005085,0.503152
24,0.004293,0.470958,0.004261,0.503174
25,0.004039,0.470955,0.003857,0.503231
26,0.003748,0.470981,0.003669,0.503244
27,0.003583,0.470968,0.003679,0.503162
28,0.003361,0.470993,0.003401,0.503269
29,0.003256,0.470980,0.003218,0.503251
30,0.003107,0.470986,0.003182,0.503187
31,0.002980,0.470976,0.003121,0.503165
32,0.002864,0.470985,0.002671,0.503274
33,0.002681,0.471012,0.002863,0.503196
34,0.002656,0.470978,0.002703,0.503193
35,0.002559,0.470994,0.002617,0.503255
36,0.002400,0.471023,0.002353,0.503279
37,0.002412,0.470993,0.002468,0.503219
38,0.002416,0.470956,0.002235,0.503275
39,0.002222,0.471011,0.002171,0.503257
40,0.002169,0.471015,0.002209,0.503246
41,0.002127,0.471002,0.002119,0.503262
42,0.002061,0.471012,0.002060,0.503241
43,0.001939,0.471036,0.001953,0.503301
44,0.001921,0.471029,0.001848,0.503313
45,0.001897,0.471024,0.001860,0.503305
46,0.001774,0.471058,0.001790,0.503324
47,0.001747,0.471062,0.001750,0.503305
48,0.001695,0.471063,0.001809,0.503243
49,0.001680,0.471050,0.001794,0.503243
50,0.001772,0.471006,0.002051,0.503147
51,0.001753,0.471006,0.002677,0.502943
52,0.001613,0.471055,0.001631,0.503295
53,0.001561,0.471061,0.001595,0.503285
54,0.001518,0.471067,0.001696,0.503201
55,0.001643,0.471011,0.001717,0.503222
56,0.001545,0.471043,0.001472,0.503309
57,0.001510,0.471055,0.001600,0.503253
58,0.001500,0.471044,0.001464,0.503304
59,0.001502,0.471032,0.001437,0.503323
60,0.001394,0.471076,0.001391,0.503319
