epoch,train_loss,train_acc,val_loss,val_acc
1,0.014227,0.999158,0.000299,0.999971
2,0.000147,0.999975,0.000088,0.999977
3,0.000072,0.999978,0.000058,0.999980
4,0.000056,0.999979,0.000048,0.999980
5,0.000050,0.999980,0.000045,0.999981
6,0.000046,0.999981,0.000041,0.999983
7,0.000045,0.999981,0.000038,0.999984
8,0.000042,0.999982,0.000039,0.999983
9,0.000041,0.999983,0.000036,0.999984
10,0.000039,0.999984,0.000038,0.999984
11,0.000038,0.999984,0.000039,0.999983
12,0.000037,0.999984,0.000037,0.999984
13,0.000036,0.999985,0.000033,0.999986
14,0.000036,0.999985,0.000033,0.999986
15,0.000035,0.999985,0.000034,0.999985
16,0.000035,0.999985,0.000033,0.999986
17,0.000034,0.999986,0.000041,0.999982
18,0.000033,0.999986,0.000041,0.999983
19,0.000033,0.999986,0.000034,0.999986
20,0.000032,0.999986,0.000033,0.999986
21,0.000032,0.999986,0.000039,0.999984
22,0.000032,0.999987,0.000051,0.999981
23,0.000031,0.999987,0.000035,0.999985
24,0.000030,0.999987,0.000041,0.999983
25,0.000030,0.999987,0.000040,0.999984
26,0.000029,0.999988,0.000037,0.999985
27,0.000029,0.999988,0.000035,0.999986
28,0.000028,0.999988,0.000041,0.999984
29,0.000028,0.999988,0.000054,0.999982
30,0.000027,0.999989,0.000044,0.999984
31,0.000026,0.999989,0.000034,0.999986
32,0.000026,0.999989,0.000035,0.999986
33,0.000025,0.999989,0.000034,0.999987
34,0.000024,0.999990,0.000035,0.999986
35,0.000024,0.999990,0.000037,0.999986
36,0.000023,0.999991,0.000046,0.999984
37,0.000022,0.999991,0.000035,0.999987
38,0.000022,0.999991,0.000037,0.999986
39,0.000025,0.999990,0.000048,0.999984
40,0.000020,0.999992,0.000045,0.999985
41,0.000020,0.999992,0.000080,0.999980
42,0.000019,0.999992,0.000042,0.999986
43,0.000018,0.999993,0.000053,0.999985
44,0.000017,0.999993,0.000051,0.999985
45,0.000017,0.999993,0.000043,0.999985
46,0.000016,0.999994,0.000052,0.999985
47,0.000015,0.999994,0.000051,0.999985
48,0.000014,0.999994,0.000049,0.999985
49,0.000014,0.999994,0.000052,0.999985
50,0.000013,0.999995,0.000056,0.999985
51,0.000013,0.999995,0.000065,0.999984
52,0.000012,0.999995,0.000063,0.999985
53,0.000011,0.999995,0.000055,0.999986
54,0.000011,0.999996,0.000062,0.999985
55,0.000010,0.999996,0.000059,0.999984
56,0.000010,0.999996,0.000057,0.999984
57,0.000010,0.999996,0.000068,0.999984
58,0.000010,0.999996,0.000064,0.999985
59,0.000009,0.999997,0.000063,0.999985
60,0.000009,0.999997,0.000077,0.999984
