epoch,train_loss,train_acc,val_loss,val_acc
1,0.014364,0.498902,0.000528,0.499977
2,0.000271,0.499698,0.000153,0.499982
3,0.000111,0.499699,0.000076,0.499986
4,0.000066,0.499701,0.000053,0.499985
5,0.000047,0.499702,0.000040,0.499987
6,0.000040,0.499703,0.000048,0.499983
7,0.000036,0.499703,0.000040,0.499984
8,0.000033,0.499704,0.000033,0.499987
9,0.000030,0.499704,0.000035,0.499985
10,0.000030,0.499704,0.000030,0.499988
11,0.000029,0.499705,0.000037,0.499985
12,0.000027,0.499705,0.000028,0.499988
13,0.000026,0.499706,0.000026,0.499989
14,0.000026,0.499706,0.000030,0.499987
15,0.000026,0.499706,0.000030,0.499987
16,0.000025,0.499706,0.000025,0.499989
17,0.000024,0.499706,0.000026,0.499989
18,0.000024,0.499707,0.000032,0.499986
19,0.000023,0.499707,0.000025,0.499990
20,0.000023,0.499707,0.000032,0.499987
21,0.000023,0.499707,0.000025,0.499989
22,0.000022,0.499707,0.000025,0.499989
23,0.000022,0.499707,0.000027,0.499988
24,0.000022,0.499707,0.000037,0.499985
25,0.000021,0.499708,0.000026,0.499989
26,0.000021,0.499708,0.000025,0.499990
27,0.000021,0.499708,0.000026,0.499989
28,0.000021,0.499708,0.000027,0.499989
29,0.000020,0.499708,0.000026,0.499989
30,0.000020,0.499708,0.000024,0.499990
31,0.000019,0.499709,0.000030,0.499987
32,0.000019,0.499709,0.000024,0.499990
33,0.000019,0.499709,0.000028,0.499988
34,0.000019,0.499709,0.000026,0.499990
35,0.000018,0.499709,0.000024,0.499990
36,0.000018,0.499709,0.000024,0.499990
37,0.000018,0.499709,0.000023,0.499990
38,0.000017,0.499709,0.000026,0.499989
39,0.000017,0.499709,0.000024,0.499990
40,0.000016,0.499710,0.000027,0.499990
41,0.000016,0.499710,0.000025,0.499990
42,0.000016,0.499710,0.000027,0.499990
43,0.000015,0.499710,0.000028,0.499989
44,0.000015,0.499710,0.000025,0.499990
45,0.000015,0.499711,0.000026,0.499990
46,0.000015,0.499710,0.000026,0.499990
47,0.000014,0.499711,0.000027,0.499990
48,0.000014,0.499711,0.000027,0.499990
49,0.000013,0.499711,0.000033,0.499989
50,0.000013,0.499711,0.000028,0.499990
51,0.000012,0.499712,0.000029,0.499990
52,0.000013,0.499711,0.000033,0.499989
53,0.000011,0.499712,0.000035,0.499989
54,0.000011,0.499712,0.000039,0.499988
55,0.000011,0.499712,0.000040,0.499988
56,0.000010,0.499712,0.000032,0.499989
57,0.000010,0.499713,0.000034,0.499990
58,0.000010,0.499713,0.000040,0.499988
59,0.000009,0.499713,0.000038,0.499989
60,0.000009,0.499713,0.000043,0.499989
