epoch,train_loss,train_acc,val_loss,val_acc
1,0.051983,0.997647,0.003779,0.999880
2,0.002045,0.999904,0.001039,0.999941
3,0.000753,0.999946,0.000536,0.999935
4,0.000413,0.999954,0.000299,0.999960
5,0.000302,0.999950,0.000262,0.999955
6,0.000288,0.999950,0.000271,0.999947
7,0.000207,0.999956,0.000143,0.999958
8,0.000142,0.999965,0.000430,0.999887
9,0.000144,0.999961,0.000090,0.999972
10,0.000136,0.999965,0.000087,0.999968
11,0.000145,0.999961,0.000089,0.999965
12,0.000115,0.999964,0.000102,0.999954
13,0.000097,0.999970,0.000076,0.999968
14,0.000110,0.999967,0.000103,0.999955
15,0.000109,0.999967,0.000269,0.999898
16,0.000132,0.999961,0.000082,0.999964
17,0.000120,0.999961,0.000079,0.999963
18,0.000089,0.999971,0.000093,0.999952
19,0.000095,0.999969,0.000079,0.999970
20,0.000089,0.999969,0.000136,0.999936
21,0.000122,0.999957,0.000107,0.999951
22,0.000098,0.999966,0.000074,0.999970
23,0.000070,0.999973,0.000094,0.999963
24,0.000108,0.999963,0.000069,0.999967
25,0.000185,0.999962,0.000067,0.999971
26,0.000100,0.999967,0.000067,0.999971
27,0.000076,0.999974,0.000067,0.999971
28,0.000080,0.999973,0.000061,0.999974
29,0.000067,0.999975,0.000060,0.999976
30,0.000074,0.999973,0.000067,0.999969
31,0.000088,0.999971,0.000252,0.999933
32,0.000088,0.999971,0.000081,0.999964
33,0.000072,0.999973,0.000055,0.999977
34,0.000067,0.999976,0.000095,0.999956
35,0.000089,0.999970,0.000055,0.999976
36,0.000074,0.999974,0.000073,0.999969
37,0.000073,0.999975,0.000069,0.999970
38,0.000077,0.999973,0.000051,0.999980
39,0.000072,0.999973,0.000055,0.999976
40,0.000063,0.999977,0.000066,0.999969
41,0.000063,0.999977,0.000056,0.999976
42,0.000067,0.999976,0.000100,0.999953
43,0.000061,0.999977,0.000077,0.999966
44,0.000072,0.999975,0.000072,0.999967
45,0.000067,0.999976,0.000050,0.999978
46,0.000068,0.999976,0.000050,0.999979
47,0.000063,0.999978,0.000048,0.999980
48,0.000071,0.999975,0.000052,0.999980
49,0.000071,0.999976,0.000053,0.999978
50,0.000069,0.999976,0.000133,0.999944
