epoch,train_loss,train_acc,val_loss,val_acc
1,0.205564,0.442697,0.226043,0.501726
2,0.128382,0.468416,0.128356,0.501425
3,0.090473,0.469877,0.092265,0.501448
4,0.067690,0.470196,0.070200,0.502336
5,0.052597,0.470363,0.051965,0.502643
6,0.042108,0.470391,0.041981,0.502737
7,0.034168,0.470404,0.033328,0.502805
8,0.028149,0.470476,0.027335,0.502869
9,0.023681,0.470549,0.023636,0.502845
10,0.020339,0.470567,0.019733,0.502910
11,0.017440,0.470628,0.016954,0.502936
12,0.015262,0.470659,0.014851,0.502996
13,0.013405,0.470690,0.012553,0.503015
14,0.011811,0.470742,0.011265,0.503064
15,0.010502,0.470774,0.010209,0.503063
16,0.009442,0.470782,0.009222,0.503093
17,0.008495,0.470825,0.008323,0.503121
18,0.007676,0.470850,0.007632,0.503137
19,0.007085,0.470856,0.006950,0.503148
20,0.006545,0.470863,0.006172,0.503180
21,0.006165,0.470846,0.006291,0.503039
22,0.005681,0.470880,0.005509,0.503205
23,0.005244,0.470888,0.005087,0.503177
24,0.004868,0.470923,0.004646,0.503203
25,0.004600,0.470915,0.004572,0.503186
26,0.004275,0.470948,0.004344,0.503192
27,0.004039,0.470946,0.004071,0.503205
28,0.003886,0.470942,0.003777,0.503193
29,0.003689,0.470944,0.003577,0.503238
30,0.003474,0.470963,0.003526,0.503177
31,0.003375,0.470938,0.003304,0.503214
32,0.003266,0.470940,0.003078,0.503250
33,0.003067,0.470963,0.003088,0.503187
34,0.002979,0.470954,0.002846,0.503232
35,0.002911,0.470937,0.002772,0.503260
36,0.002739,0.470975,0.002622,0.503263
37,0.002702,0.470958,0.002465,0.503257
38,0.002751,0.470895,0.003032,0.503094
39,0.002625,0.470934,0.002463,0.503224
40,0.002458,0.470970,0.002406,0.503269
41,0.002326,0.470992,0.002235,0.503254
42,0.002262,0.470987,0.002163,0.503230
43,0.002156,0.471005,0.002131,0.503269
44,0.002114,0.471001,0.002168,0.503248
45,0.002100,0.470998,0.001952,0.503314
46,0.002008,0.471014,0.001948,0.503283
47,0.001951,0.471022,0.001929,0.503261
48,0.001922,0.471017,0.001880,0.503252
49,0.001908,0.471002,0.001865,0.503262
50,0.001877,0.471001,0.001918,0.503271
