epoch,train_loss,train_acc,val_loss,val_acc
1,0.014524,0.999371,0.000272,0.999973
2,0.000168,0.999971,0.000086,0.999979
3,0.000077,0.999976,0.000057,0.999981
4,0.000061,0.999977,0.000050,0.999980
5,0.000056,0.999978,0.000064,0.999975
6,0.000052,0.999979,0.000048,0.999980
7,0.000049,0.999980,0.000041,0.999984
8,0.000046,0.999981,0.000053,0.999978
9,0.000045,0.999981,0.000049,0.999979
10,0.000043,0.999982,0.000036,0.999985
11,0.000041,0.999983,0.000040,0.999983
12,0.000041,0.999983,0.000035,0.999985
13,0.000039,0.999983,0.000035,0.999985
14,0.000039,0.999984,0.000039,0.999983
15,0.000038,0.999984,0.000039,0.999983
16,0.000037,0.999984,0.000069,0.999976
17,0.000037,0.999984,0.000042,0.999982
18,0.000037,0.999984,0.000033,0.999986
19,0.000036,0.999985,0.000035,0.999985
20,0.000036,0.999985,0.000033,0.999986
21,0.000035,0.999985,0.000038,0.999984
22,0.000035,0.999985,0.000038,0.999984
23,0.000034,0.999986,0.000037,0.999984
24,0.000034,0.999986,0.000032,0.999986
25,0.000033,0.999986,0.000035,0.999985
26,0.000033,0.999986,0.000058,0.999977
27,0.000033,0.999986,0.000039,0.999985
28,0.000032,0.999986,0.000040,0.999984
29,0.000032,0.999986,0.000037,0.999984
30,0.000032,0.999986,0.000038,0.999984
31,0.000032,0.999987,0.000031,0.999987
32,0.000031,0.999987,0.000037,0.999985
33,0.000031,0.999987,0.000031,0.999987
34,0.000030,0.999987,0.000034,0.999986
35,0.000030,0.999987,0.000033,0.999986
36,0.000030,0.999987,0.000037,0.999985
37,0.000030,0.999988,0.000038,0.999985
38,0.000029,0.999988,0.000032,0.999987
39,0.000029,0.999988,0.000037,0.999985
40,0.000029,0.999988,0.000032,0.999987
41,0.000028,0.999988,0.000032,0.999987
42,0.000028,0.999988,0.000035,0.999986
43,0.000028,0.999988,0.000033,0.999986
44,0.000027,0.999989,0.000037,0.999985
45,0.000027,0.999989,0.000033,0.999987
46,0.000027,0.999989,0.000036,0.999986
47,0.000026,0.999989,0.000033,0.999986
48,0.000026,0.999989,0.000034,0.999987
49,0.000026,0.999989,0.000036,0.999986
50,0.000025,0.999990,0.000034,0.999986
