epoch,train_loss,train_acc,val_loss,val_acc
1,0.000303,0.123827,0.000028,0.125047
2,0.000017,0.124560,0.000010,0.125050
3,0.000007,0.124563,0.000005,0.125053
4,0.000004,0.124565,0.000003,0.125055
5,0.000003,0.124566,0.000003,0.125055
6,0.000003,0.124566,0.000002,0.125055
7,0.000002,0.124566,0.000002,0.125054
8,0.000002,0.124566,0.000001,0.125056
9,0.000001,0.124567,0.000001,0.125055
10,0.000001,0.124567,0.000001,0.125056
11,0.000001,0.124567,0.000001,0.125056
12,0.000001,0.124567,0.000001,0.125056
13,0.000001,0.124567,0.000001,0.125055
14,0.000001,0.124567,0.000001,0.125055
15,0.000001,0.124567,0.000001,0.125056
16,0.000001,0.124567,0.000001,0.125056
17,0.000001,0.124567,0.000001,0.125057
18,0.000001,0.124567,0.000001,0.125056
19,0.000001,0.124567,0.000001,0.125057
20,0.000001,0.124568,0.000001,0.125056
21,0.000001,0.124568,0.000001,0.125056
22,0.000001,0.124568,0.000001,0.125057
23,0.000001,0.124568,0.000001,0.125057
24,0.000001,0.124568,0.000001,0.125057
25,0.000001,0.124568,0.000001,0.125056
26,0.000001,0.124568,0.000001,0.125056
27,0.000001,0.124568,0.000001,0.125056
28,0.000001,0.124568,0.000001,0.125057
29,0.000001,0.124568,0.000001,0.125055
30,0.000001,0.124568,0.000001,0.125057
31,0.000001,0.124568,0.000001,0.125057
32,0.000001,0.124568,0.000001,0.125057
33,0.000001,0.124568,0.000001,0.125056
34,0.000001,0.124568,0.000001,0.125056
35,0.000001,0.124568,0.000001,0.125055
36,0.000001,0.124568,0.000001,0.125057
37,0.000001,0.124568,0.000001,0.125057
38,0.000001,0.124568,0.000001,0.125056
39,0.000001,0.124568,0.000001,0.125057
40,0.000001,0.124568,0.000001,0.125057
41,0.000001,0.124568,0.000001,0.125057
42,0.000001,0.124568,0.000001,0.125056
43,0.000001,0.124569,0.000001,0.125057
44,0.000001,0.124568,0.000001,0.125057
45,0.000001,0.124569,0.000001,0.125056
46,0.000001,0.124569,0.000001,0.125057
47,0.000001,0.124569,0.000001,0.125056
48,0.000001,0.124569,0.000001,0.125057
49,0.000001,0.124569,0.000001,0.125057
50,0.000001,0.124569,0.000001,0.125058
